"","text","author_id","conversation_id","created_at.x","id","reply_settings","possibly_sensitive","lang","in_reply_to_user_id","name","username","description","pinned_tweet_id","profile_image_url","created_at.y","protected","verified","location","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","geo_place_id","reply.to.thread.no.term"
"11","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","2725116285","1777333469242089631",2024-04-08 13:51:34,"1777333469242089631","everyone",FALSE,"en",NA,"sailonsilvergirl","manton_jeanne","It's go time.
Treehugger of Liberty. 
The #GreatestGeneration was Antifa.
BOTS/trolls shamed by their anonymous words, don't @ me.","1526700334848122880","https://pbs.twimg.com/profile_images/729711017060618240/OSD_bTxK_normal.jpg","2014-07-26T11:33:00.000Z",FALSE,FALSE,NA,NA,6,0,0,0,0,0,1570,1405,111693,16,68798,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"12","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","888041223243649024","1777332600463573170",2024-04-08 13:48:07,"1777332600463573170","everyone",FALSE,"en",NA,"Jules of 🇺🇸","VotingTweeter","@jules-of-america.Bsky.social
❤️🇺🇸🐘🧚🏼🏀❤️ Earth Day 2022 Florida - 5 year old said, “My grandma’s husband is a woman.” ❤️ Love it!","1595417947886866433","https://pbs.twimg.com/profile_images/912519116547792896/RpU7ctxo_normal.jpg","2017-07-20T14:21:41.000Z",FALSE,FALSE,"🇺🇸 America 🇺🇸 ","https://t.co/Iq26uKWe8p",6,0,0,0,0,0,750,780,48962,1,191866,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"13","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","20930240","1777325535967773032",2024-04-08 13:20:03,"1777325535967773032","everyone",FALSE,"en",NA,"Donna in Lakeland FL","SouthernJewel","🇺🇦 😷 #StandWithUkraine #NoVid “Morality in terms of behavior, not in terms of theology” Frank Zappa","1633881770528473092","https://pbs.twimg.com/profile_images/1697719663659012096/GgK5jixS_normal.jpg","2009-02-15T19:25:19.000Z",FALSE,FALSE,"Lakeland, FL",NA,6,0,0,0,0,0,1540,333,126171,24,184578,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"14","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","377666632","1777321367500677193",2024-04-08 13:03:29,"1777321367500677193","everyone",FALSE,"en",NA,"Craig Kopp","radiocraigkopp","Radio man, Podcast man, Writer man",NA,"https://pbs.twimg.com/profile_images/1490711932650889217/kLsdYtt5_normal.jpg","2011-09-21T22:53:34.000Z",FALSE,FALSE,"Land O Lakes, Florida",NA,6,0,0,0,0,0,1019,1546,39386,60,35517,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"15","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","785425199432863744","1777320751311299047",2024-04-08 13:01:02,"1777320751311299047","everyone",FALSE,"en",NA,"SSton","SharinStone","Analyst, mother, RN, voter.",NA,"https://pbs.twimg.com/profile_images/1046717212273315840/zxps2pAr_normal.jpg","2016-10-10T10:22:14.000Z",FALSE,FALSE,"Florida",NA,6,0,0,0,0,0,4717,4689,220808,31,918404,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"16","Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","17544442","1777319985901088864",2024-04-08 12:58:00,"1777319985901088864","everyone",FALSE,"en",NA,"WUSF","wusf","WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.",NA,"https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg","2008-11-21T20:07:08.000Z",FALSE,FALSE,"Tampa, FL","https://t.co/KBo4cZ4tOe",6,0,4,0,0,163,15044,2342,40363,478,2708,"Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"17","@YellowSnwman Sunshine Skyway in St. Petersburg, Florida accident was worse. There were bodies floating up for weeks. It looks like red tide except they were human beings, floating and not fish","1769863215083581441","1772595650544173504",2024-03-26 15:19:46,"1772644620494688489","everyone",FALSE,"en","894931909716975616","JD","JamesLong344712","cowboy’s fan. no porn if you wanna get blocked follow me stay out of my DM‘s unless you have something sensible to talk about.",NA,"https://pbs.twimg.com/profile_images/1769876486738018304/0NjJrK2q_normal.jpg","2024-03-18T23:08:42.000Z",FALSE,FALSE,NA,NA,0,1,1,0,0,5,14,31,271,0,111,"@YellowSnwman Sunshine Skyway in St. Petersburg, Florida accident was worse. There were bodies floating up for weeks. It looks like red tide except they were human beings, floating and not fish",NA,NA
"18","A Concerning Mix of Red Tide and High Levels of Arsenic and HA -A9 Residents and visitors to St. Petersburg, be cautious!  .https://t.co/NE34U6nPfE via @FacebookWatch","1677355831740755968","1770576689174609990",2024-03-20 22:22:33,"1770576689174609990","everyone",FALSE,"en",NA,"Earth Water","earthwater4all","Nonprofit Organization. Providing safe drinking water in America while increasing social awareness and mitigating water pollution 🦋🇺🇸",NA,"https://pbs.twimg.com/profile_images/1677356602607771658/atMBPJQW_normal.jpg","2023-07-07T16:36:26.000Z",FALSE,FALSE,NA,NA,0,0,0,0,0,6,50,14,109,0,47,"A Concerning Mix of Red Tide and High Levels of Arsenic and HA -A9 Residents and visitors to St. Petersburg, be cautious!  .https://t.co/NE34U6nPfE via @FacebookWatch",NA,NA
"19","@jimstep260853 We went to St Petersburg on Florida's gulf coast, only to find we couldn't go into the water, due to Red Tide. Dead fish everywhere, so we checked out, drove across Alligator Alley &amp; went back to Disney for another 10 days!","3687054329","1763322323212362097",2024-03-01 00:34:44,"1763362199119044860","everyone",FALSE,"en","1674083297486417921","diane wheatley","DianeDidi15","NYC lady born & raised. Proud daughter of WWII U.S. Army Vet. Living in UK. No lists.  🌊 🗽🍎💖🗽🇺🇸🇬🇧","1528886927214231554","https://pbs.twimg.com/profile_images/1497756704326529026/_4Wc3MaF_normal.jpg","2015-09-17T15:40:11.000Z",FALSE,FALSE,"Yorkshire and The Humber, Engl",NA,0,0,1,0,0,157,3067,4622,101869,4,381802,"@jimstep260853 We went to St Petersburg on Florida's gulf coast, only to find we couldn't go into the water, due to Red Tide. Dead fish everywhere, so we checked out, drove across Alligator Alley &amp; went back to Disney for another 10 days!",NA,NA
"20","@rohindhar imo Fl is going to be dealing with some major environmental issues too. that red tide coming up the gulf coast is bad. everyone in st pete coughing on the beach.
that callahoosie river pollution needs to get fixed. 
but Fl politics are a mess right now.","196021101","1762709591731900681",2024-02-28 13:19:27,"1762829870348804228","everyone",FALSE,"en","196021101","joe conery","meetgrinder","mstrs in physics and in comp eng.     Enjoy my kids, my dog sugar, jiu jitsu, aquariums, diving, sailing, and chess.  
cloud computing","1006245246336995329","https://pbs.twimg.com/profile_images/2236413468/P1010003_normal.jpg","2010-09-28T03:39:24.000Z",FALSE,FALSE,"Newton, MA",NA,0,0,0,0,0,56,267,628,21706,2,9889,"@rohindhar imo Fl is going to be dealing with some major environmental issues too. that red tide coming up the gulf coast is bad. everyone in st pete coughing on the beach.
that callahoosie river pollution needs to get fixed. 
but Fl politics are a mess right now.",NA,NA
"21","@PlaneGirl26 I hope you have great weather. No hurricanes predicted for this week. And no red tides with dead fish. Happened once when I was in St Pete Beach.","822455582","1755237383073677513",2024-02-07 22:23:30,"1755356640264806763","everyone",FALSE,"en","1724494458534682624","Gregory Lease","GregoryLease","Mental Health Therapist and Life/Relationship Coach",NA,"https://pbs.twimg.com/profile_images/2609672362/x6ftcbefjwdywljt1f5c_normal.jpeg","2012-09-14T01:09:37.000Z",FALSE,FALSE,"University Place, WA..        ",NA,0,0,1,0,0,11,222,360,3273,6,11894,"@PlaneGirl26 I hope you have great weather. No hurricanes predicted for this week. And no red tides with dead fish. Happened once when I was in St Pete Beach.",NA,NA
"22","@iluminatibot maybe we should stop putting fertilizers &amp; pesticides in the water-

https://t.co/HqJw5vkQne","1637495516757102594","1751455113267265987",2024-01-28 19:36:43,"1751690787627409446","everyone",FALSE,"en","3376321847","Louise","Louise391589497","",NA,"https://pbs.twimg.com/profile_images/1671623666327777280/Va0fQUzD_normal.jpg","2023-03-19T16:46:18.000Z",FALSE,FALSE,NA,NA,0,0,1,0,0,1,92,389,30119,15,31543,"@iluminatibot maybe we should stop putting fertilizers &amp; pesticides in the water-

https://t.co/HqJw5vkQne",NA,NA
"23","@courtneyknill It's because st pete is insane and bans everything and he was all ""hey maybe it's cool if people are allowed to plant vegetables anywhere they want on their own property"" and people got REAL mad because fertilizer by the bay causes the red tide but allowing gardens is totally… https://t.co/zhjA6MYc9t","1394662479200985094","1745295226862723193",2024-01-11 13:21:59,"1745435892179739027","everyone",FALSE,"en","2741773954","Hannah Carter Thorn","MissThorn_","🌻End Child Trafficking 
🌻Runway Model 
🌻Marketer
🌻Live Music St Pete
🌻🇮🇹🇺🇲
🌻🐈‍⬛🐈‍⬛
🌻AnCap✝️","1434284476822081554","https://pbs.twimg.com/profile_images/1729212048670674944/ZVqcr7He_normal.jpg","2021-05-18T14:33:47.000Z",FALSE,FALSE,"Tampa, FL",NA,0,0,3,0,0,128,7483,2383,22249,18,65478,"@courtneyknill It's because st pete is insane and bans everything and he was all ""hey maybe it's cool if people are allowed to plant vegetables anywhere they want on their own property"" and people got REAL mad because fertilizer by the bay causes the red tide but allowing gardens is totally… https://t.co/zhjA6MYc9t",NA,NA
"24","@SocratesPoly @srzjwalters @craigtimes @SaundraAmrhein That red tide snuck up on me (and everyone else) once at Pass a Grille. No warnings and nothing showed up on my phone but I wondered if that was why I had a coughing fit. It had supposedly passed. 🤷‍♀️","819350246278963200","1706057325813911599",2023-09-25 00:20:33,"1706101345844072484","everyone",FALSE,"en","1421881788536872960","MommaMia","MommaMia6512","Scottish and Sicilian roots. Don't make me block you.","1705624434672009607","https://pbs.twimg.com/profile_images/1053269020626038784/gZ-R4THn_normal.jpg","2017-01-12T01:08:16.000Z",FALSE,FALSE,"Colorado970",NA,0,1,0,0,0,21,1498,597,80308,3,168382,"@SocratesPoly @srzjwalters @craigtimes @SaundraAmrhein That red tide snuck up on me (and everyone else) once at Pass a Grille. No warnings and nothing showed up on my phone but I wondered if that was why I had a coughing fit. It had supposedly passed. 🤷‍♀️",NA,NA
"25","@RonFilipkowski She represents St Pete Beach. Half the year it's busy, hopefully void of Red Tide or BP oil spills, the other half of the year it's a ghost town and businesses can't afford their staff.  Sounds like someone didn't get her an umbrella drink quick enough.","1634541796205248514","1703942387800646072",2023-09-19 20:27:10,"1704230674637471810","everyone",FALSE,"en","1298372735383605249","Ted Hathaway","TedHathaway9","Florida resident living in the NPR, Massachusetts native, Husband, Father of 2, Rays,UMass&Patriots fan, Marvel, SciFi, History geek",NA,"https://pbs.twimg.com/profile_images/1683946244111048707/wkqDWUzj_normal.jpg","2023-03-11T13:09:13.000Z",FALSE,FALSE,"Florida, USA",NA,0,0,0,0,0,14,9,88,64,0,NA,"@RonFilipkowski She represents St Pete Beach. Half the year it's busy, hopefully void of Red Tide or BP oil spills, the other half of the year it's a ghost town and businesses can't afford their staff.  Sounds like someone didn't get her an umbrella drink quick enough.",NA,NA
"26","RT @BrujaAnon: Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
. https   www tampabay com news environment 2023 08 21 st petersburg sewage spill riviera bay weedon island","1119318824975831040","1693730857343709343",2023-08-21 21:04:39,"1693730857343709343","everyone",FALSE,"en",NA,"SusieQGnv 🌻😷😎🌴🦎🦋🌊🏳️‍🌈","GnvSusie","#GetBoosted #CovidIsAirborne #BringBackMasks #PostcardsToVoters #FLDemsVBM #VoteBlue2024 #BlueWave #BLM #DeathSantisIsKillingFloridians #NeverDeSantis","1389626019351511044","https://pbs.twimg.com/profile_images/1658117105122770947/u1OXcq-V_normal.jpg","2019-04-19T19:16:18.000Z",FALSE,FALSE,NA,NA,1,0,0,0,0,0,413,1150,57892,0,NA,"RT @BrujaAnon: Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
https://t.co/MweUXXUqKA",NA,NA
"27","Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
. https   www tampabay com news environment 2023 08 21 st petersburg sewage spill riviera bay weedon island","1219032025769881605","1693728616939491373",2023-08-21 20:55:44,"1693728616939491373","everyone",FALSE,"en",NA,"MSFighter 🇺🇦♿🗝☮️🏳️‍🌈","BrujaAnon","Retired military. #WritingCommunity #PTSD #MS #LGBTQ #Hypoparathyroidism #RA #depression #TBI #FBR #atheist #dogs #cats CanoNina on Mastadon and Post 😊",NA,"https://pbs.twimg.com/profile_images/1350116284327981058/3_GmLbhP_normal.jpg","2020-01-19T23:01:09.000Z",FALSE,FALSE,"Florida, USA",NA,1,0,1,0,0,20,2255,4329,108716,10,NA,"Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
https://t.co/MweUXXUqKA",NA,NA
"28","@unhealthytruth @aurajenn I had to leave St. Petersburg last spring early because of Red tide. Four trips to urgent care in two months.","822676461823885313","1687963066799947776",2023-08-06 16:43:49,"1688229399387140096","everyone",FALSE,"en","18093097","Karen","KarenSc38678909","Light Warrior.",NA,"https://pbs.twimg.com/profile_images/1056706995955351552/sUB0IxK0_normal.jpg","2017-01-21T05:25:27.000Z",FALSE,FALSE,NA,NA,0,1,1,0,0,37,1290,1748,32059,7,NA,"@unhealthytruth @aurajenn I had to leave St. Petersburg last spring early because of Red tide. Four trips to urgent care in two months.",NA,NA
