"","text","possibly_sensitive","author_id","created_at.x","lang","id","reply_settings","conversation_id","url","name","profile_image_url","verified","location","protected","description","username","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"11","Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa B...  via @Change. https   www change org p mayor rick kriseman stop st pete s illegal dumping of raw and partially treated sewage into tampa bay s water",FALSE,"302814665",2018-03-29 04:47:43,"en","979218522344755200","everyone","979218522344755200",NA,"Carla","https://pbs.twimg.com/profile_images/806315956049821696/TQwTICR6_normal.jpg",FALSE,NA,FALSE,"I am a spiritual being having a human experience.","revcarlag","2011-05-21T20:10:45.000Z",0,0,0,0,0,165,288,13272,0,NA,"1509208754549624835",NA,"Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa B... https://t.co/rlXjI7qQEp via @Change",FALSE
"12","City says no reclaimed water reached Tampa Bay in January spill. Its own internal report suggests otherwise. City says that's just a draft, don't read into it. @ByJoshSolomon . http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"213164823",2018-04-20 19:33:50,"en","987414055810977792","everyone","987414055810977792","https://t.co/YleaqdcAN8","Zack Sampson","https://pbs.twimg.com/profile_images/560772860545757185/UJ0f-WFA_normal.jpeg",TRUE,"St. Petersburg, Fla.",FALSE,"Investigative reporter @TB_Times. zsampson@tampabay.com. On Signal: 813-534-0157. he/him.","ZackSampson","2010-11-08T04:18:07.000Z",0,0,1,0,0,3326,869,14759,153,NA,NA,NA,"City says no reclaimed water reached Tampa Bay in January spill. Its own internal report suggests otherwise. City says that's just a draft, don't read into it. @ByJoshSolomon https://t.co/FSS4e1g6Lf",FALSE
"13","#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise.  via @ByJoshSolomon. http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"62575859",2018-04-20 19:56:56,"en","987419866062782465","everyone","987419866062782465","https://t.co/Y1kqEYKFCg","Craig Pittman","https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg",FALSE,"St. Petersburg FL",FALSE,"THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.","craigtimes","2009-08-03T17:55:56.000Z",4,0,3,1,0,20635,2287,180304,860,NA,"1437092398249689093",NA,"#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon",FALSE
"14","#StPetersburg says a reclaimed water discharge never reached #TampaBay. Its own report says otherwise. The latest report on #StPete's wastewater problems from @TB_Times reporter @ByJoshSolomon: . http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"15086826",2018-04-20 21:32:26,"en","987443899068239872","everyone","987443899068239872","https://t.co/sHHGKCO5lg","Jamal Thalji","https://pbs.twimg.com/profile_images/1547364767668621313/uG1sp6Dh_normal.jpg",TRUE,"Tampa Bay, FL",FALSE,"Proud @TB_Times alumnus. Recovering journalist. I miss #NightEditorProblems. #GoBucs #Raysup #GoBolts #GoBulls","jthalji","2008-06-11T17:21:49.000Z",1,0,1,0,0,4575,9997,19587,143,NA,"1359604017471639552",NA,"#StPetersburg says a reclaimed water discharge never reached #TampaBay. Its own report says otherwise. The latest report on #StPete's wastewater problems from @TB_Times reporter @ByJoshSolomon: https://t.co/VfmgxwtX3k",FALSE
"15","RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise.  via @ByJoshSolomon. http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"2414913756",2018-04-20 22:00:49,"en","987451046049058821","everyone","987451046049058821",NA,"Le Chat Biden Democrat","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg",FALSE,"Florida",FALSE,"#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","LeChatNoire4","2014-03-27T21:29:48.000Z",4,0,0,0,0,14255,13707,1103614,336,NA,"1222268511134896129",NA,"RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon",FALSE
"16","RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise.  via @ByJoshSolomon. http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"244200696",2018-04-20 22:19:59,"en","987455866281627654","everyone","987455866281627654",NA,"Sal Molina","https://pbs.twimg.com/profile_images/378800000257900582/1193b134607b66463b7afed9bc2fd651_normal.jpeg",FALSE,"San Antonio, Texas",FALSE,"Vietnam Veteran, Retired Federal Agent, Ex International Policeman/Investigator for the United Nations in Kosovo. Longhorns, Cowboys, Spurs Fan, Democrat.","OOsal","2011-01-28T19:28:02.000Z",4,0,0,0,0,10141,11167,179203,110,NA,NA,NA,"RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon",FALSE
"17","RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise.  via @ByJoshSolomon. http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"106331667",2018-04-20 22:22:16,"en","987456440054042624","everyone","987456440054042624",NA,"MikeofBoston 🇺🇦","https://pbs.twimg.com/profile_images/1110682867254902784/4aKOU8g1_normal.png",FALSE,"Boston, MA",FALSE,"I retweet various tweets because I feel they are worth seeing/reading/hearing Proudly raised in New Hampshire,  registered as undeclared voter 🇺🇸  🇮🇪 🇺🇦","griffbos","2010-01-19T06:15:59.000Z",4,0,0,0,0,2743,2641,184863,17,NA,NA,NA,"RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon",FALSE
"18","RT @jthalji: #StPetersburg says a reclaimed water discharge never reached #TampaBay. Its own report says otherwise. The latest report on #StPete's wastewater problems from @TB_Times reporter @ByJoshSolomon: . http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",FALSE,"119945205",2018-04-21 01:43:41,"en","987507131699159041","everyone","987507131699159041","https://t.co/oEoq0MEPcp","Mark Puente","https://pbs.twimg.com/profile_images/1107681713327505408/c3Bt1MN7_normal.png",TRUE,"Cleveland, OH",FALSE,"Investigative reporter at @marshallproj Once: @TB_Times, @LATimes, @baltimoresun, @theplaindealer, trucker & Teamster. Email: mpuente@themarshallproject.org","MarkPuente","2010-03-05T01:07:56.000Z",1,0,0,0,0,5433,3280,22090,250,NA,"1536651712118784000",NA,"RT @jthalji: #StPetersburg says a reclaimed water discharge never reached #TampaBay. Its own report says otherwise. The latest report on #StPete's wastewater problems from @TB_Times reporter @ByJoshSolomon: https://t.co/VfmgxwtX3k",FALSE
"19","@PatsCSW @RepMaxineWaters I hope that she's swimming in the Bay when St. Pete releases some raw sewage.... ",FALSE,"970535995321053184",2018-04-21 04:20:30,"en","987546596123561984","everyone","987324895678910465",NA,"Sailfish1900","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,NA,FALSE,"","Sailfish115","2018-03-05T05:46:27.000Z",0,0,0,0,0,7,189,677,0,"2233488978",NA,NA,"@PatsCSW @RepMaxineWaters I hope that she's swimming in the Bay when St. Pete releases some raw sewage...",FALSE
"20","""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"17873369",2018-04-21 14:00:00,"en","987692430131650560","everyone","987692430131650560","https://t.co/uISsduaLRA","Charlie Frago","https://pbs.twimg.com/profile_images/1169326335266873344/TEB8ae5V_normal.jpg",TRUE,"Tampa, FL",FALSE,"Tampa City Hall reporter for @TB_Times. Formerly covered St. Petersburg and Clearwater. Retweets and Favorites aren't endorsements.","CharlieFrago","2008-12-04T18:03:12.000Z",12,1,25,2,0,4927,3737,14783,155,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"21","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"41584448",2018-04-21 14:01:05,"en","987692702367125505","everyone","987692702367125505",NA,"Corey Johnson","https://pbs.twimg.com/profile_images/378800000485677998/c6d3bad1b76e3471de5cdf6b0f7ef9e4_normal.jpeg",TRUE,"Tampa, FL",FALSE,"Reporter @ProPublica. @PulitzerPrize winner. @FAMU_1887 alum. Digger for truth. ATL born & made. Send tips to corey.johnson@propublica.org","CoreyGJohnson","2009-05-21T13:22:33.000Z",12,0,0,0,0,9582,5961,19319,349,NA,"1089643831946108930",NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"22","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"19828037",2018-04-21 14:04:28,"en","987693553060122625","everyone","987693553060122625","https://t.co/xHY94R11d9","Peter Schorsch","https://pbs.twimg.com/profile_images/1608216134850846720/KPutQQoI_normal.jpg",FALSE,"In between Disney Cruises",FALSE,"Husband to Michelle, Father to Ella. Publisher of @Fla_Pol, https://t.co/xHY94R11d9, INFLUENCE Mag, etc.","PeterSchorschFL","2009-01-31T19:40:00.000Z",12,0,0,0,0,50946,10180,228284,944,NA,NA,NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"23","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"25082216",2018-04-21 18:51:49,"en","987765867491610625","everyone","987765867491610625","https://t.co/O1xTiqJK2T","Noah Pransky","https://pbs.twimg.com/profile_images/875783647772672003/3KThxPB9_normal.jpg",TRUE,"New York, NY",FALSE,"Nat’l Political Editor @NBCLX. Tracking GenZ, Millennials, & polarization. Prev: investigative dude, #ZombieCampaigns slayer, competitive eater, MLB mascot.","noahpransky","2009-03-18T14:36:59.000Z",12,0,0,0,0,7691,695,29876,363,NA,"1609549003770978304",NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"24","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"234007105",2018-04-21 18:55:29,"en","987766792943697922","everyone","987766792943697922","https://t.co/legWM94AHg","Josh Solomon","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"Tampa, Florida",FALSE,"Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","ByJoshSolomon","2011-01-04T16:50:04.000Z",12,0,0,0,0,2373,1804,5204,86,NA,NA,NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"25","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"74726511",2018-04-21 19:11:43,"en","987770874932719616","everyone","987770874932719616",NA,"Chris Latvala","https://pbs.twimg.com/profile_images/1006611418567888896/24nEHoZO_normal.jpg",FALSE,"Clearwater",FALSE,"Pinellas County Commissioner. Christian. UCF Grad. Political Consultant.","ChrisLa1974","2009-09-16T13:11:18.000Z",12,0,0,0,0,7242,4925,24477,150,NA,NA,NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"26","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"860482663",2018-04-21 22:41:30,"en","987823670964912128","everyone","987823670964912128",NA,"Roberto Roldan","https://pbs.twimg.com/profile_images/1429916004625358859/aU9RNN5Y_normal.jpg",FALSE,"Louisville, KY",FALSE,"Louisville Politics & Government @WFPLNews. Florida man 🇵🇷. Formerly: @MyVPM @WUSF & more. Tips: rroldan@WFPL.org","ByRobertoR","2012-10-03T23:02:02.000Z",12,0,0,0,0,4007,630,18323,113,NA,NA,NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"27","The city said not one of the 266,000 gallons of reclaimed water released on Jan. 18 reached Tampa Bay. . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"14304462",2018-04-22 14:00:00,"en","988054819834298369","everyone","988054819834298369","https://t.co/cGIDc1tNIf","Tampa Bay Times","https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg",TRUE,"St. Petersburg, Florida",FALSE,"Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN","TB_Times","2008-04-04T17:14:50.000Z",1,0,1,1,0,319684,5489,267635,3122,NA,"1593648689536413696",NA,"The city said not one of the 266,000 gallons of reclaimed water released on Jan. 18 reached Tampa Bay. https://t.co/jZTSu63h6k",FALSE
"28","RT @TB_Times: The city said not one of the 266,000 gallons of reclaimed water released on Jan. 18 reached Tampa Bay. . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"1627501111",2018-04-22 14:39:14,"en","988064692114481154","everyone","988064692114481154",NA,"MC Wilkins","https://pbs.twimg.com/profile_images/761774660988043265/yQguu_ql_normal.jpg",FALSE,NA,FALSE,"","mcwilkins63","2013-07-28T09:16:16.000Z",1,0,0,0,0,157,76,287127,28,NA,NA,NA,"RT @TB_Times: The city said not one of the 266,000 gallons of reclaimed water released on Jan. 18 reached Tampa Bay. https://t.co/jZTSu63h6k",FALSE
"29","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"15086826",2018-04-22 15:18:20,"en","988074531192496129","everyone","988074531192496129","https://t.co/sHHGKCO5lg","Jamal Thalji","https://pbs.twimg.com/profile_images/1547364767668621313/uG1sp6Dh_normal.jpg",TRUE,"Tampa Bay, FL",FALSE,"Proud @TB_Times alumnus. Recovering journalist. I miss #NightEditorProblems. #GoBucs #Raysup #GoBolts #GoBulls","jthalji","2008-06-11T17:21:49.000Z",12,0,0,0,0,4575,9997,19587,143,NA,"1359604017471639552",NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
"30","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",FALSE,"5145791",2018-04-22 15:28:23,"en","988077062131998720","everyone","988077062131998720","https://t.co/XYtpsoSnfM","Howard Altman","https://pbs.twimg.com/profile_images/496686675645308928/2e9hRrSv_normal.jpeg",FALSE,"ÜT: 28.24983,-82.725911",FALSE,"Senior staff writer for @thewarzonewire, former MilitaryTimes senior managing editor, military reporter @TB_Times","haltman","2007-04-18T18:49:51.000Z",12,0,0,0,0,14478,13357,65010,421,NA,NA,NA,"RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv",FALSE
