"","text","id","reply_settings","lang","conversation_id","author_id","possibly_sensitive","created_at.x","location","created_at.y","pinned_tweet_id","protected","description","name","username","verified","profile_image_url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","public_metrics.y_media_count","text_with_display_links","url","in_reply_to_user_id"
"11","RED TIDE DETECTED❌Red tide alert issued for 2 Bradenton beaches  . https   www wfla com news local news manatee county red tide alert issued for 2 bradenton beaches. https   x com WFLA status 1860077797496226171 photo 1","1860077797496226171","everyone","en","1860077797496226171","23820899",FALSE,2024-11-22 21:48:00,"Tampa, FL","2009-03-11T20:14:10.000Z",NA,FALSE,"WFLA News Channel 8 is a news leader in Tampa Bay.","WFLA NEWS","WFLA",FALSE,"https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg",1,1,1,1,0,1952,237838,2245,268564,1793,6960,NA,"RED TIDE DETECTED❌Red tide alert issued for 2 Bradenton beaches https://t.co/y8ffnl0oZC https://t.co/fxNSjoj1uF","https://t.co/qPxwyiszHG",NA
"12","RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1860060319781126355","everyone","en","1860060319781126355","1268261281594736645",FALSE,2024-11-22 20:38:33,"Sarasota County, Florida","2020-06-03T19:20:34.000Z",NA,FALSE,"Florida Young Republicans @FloridaYRs Vice Chair | @srqyrs Chairman 🇺🇸 | Another Armchair Weather Guy 🌪️⛈️ | ⚫️🟡 Pittsburgh Native, Florida Living 🌴🐊","CJ Morgan","CJMorganFL",FALSE,"https://pbs.twimg.com/profile_images/1760703543684530176/qHQXGMJ-_normal.jpg",7,0,0,0,0,0,356,479,1589,2,3064,NA,"RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74",NA,NA
"13","RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1859993619282976850","everyone","en","1859993619282976850","2507601764",FALSE,2024-11-22 16:13:30,"United States of America","2014-05-19T14:43:58.000Z","1802716432146350427",FALSE,"@NOAA's National Centers for Coastal Ocean Science is a fed govt office. Verification: https://t.co/oYrBZk5e0j","NOAA Coastal Ocean Science","noaacoastalsci",FALSE,"https://pbs.twimg.com/profile_images/1816860590708584448/7jL_n6VN_normal.jpg",7,0,0,0,0,0,6495,221,2512,159,1287,NA,"RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74","https://t.co/4LXAlnxJEs",NA
"14","Winds have pushed red tide closer to Sarasota and Manatee County shorelines, but its impacts have largely remained mild and vary from beach to beach. . https   www heraldtribune com story news local manatee 2024 11 22 red tide bloom has shifted south recently along sarasota manatee 76403995007","1859982695167557824","everyone","en","1859982695167557824","6942422",FALSE,2024-11-22 15:30:05,"Sarasota, Florida","2007-06-19T21:13:46.000Z",NA,FALSE,"The Sarasota Herald-Tribune is Southwest Florida's source for news, commentary and more.","Sarasota Herald-Tribune","HeraldTribune",FALSE,"https://pbs.twimg.com/profile_images/1369704378400186370/IVjDQiBD_normal.png",0,0,0,0,0,315,66625,805,130465,918,2001,NA,"Winds have pushed red tide closer to Sarasota and Manatee County shorelines, but its impacts have largely remained mild and vary from beach to beach. https://t.co/66f7e7TPdv","https://t.co/W5oFw0FxIi",NA
"15","RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1859972782379123119","everyone","en","1859972782379123119","192777160",FALSE,2024-11-22 14:50:42,"Cone of Uncertainty","2010-09-20T03:25:31.000Z","1593510122478866432",FALSE,"Night Owl | INFP | tired job seeker 
hiraeth-full & fernweh-haver
 Wimsey-infatuated 🧐
Fan of adaptive reuse & walkable cities

Tá cúpla focal agam ☘️ YNWA⚽️","🦋🐳 alexandra M 🌻🧭🦩","MiscAlex",FALSE,"https://pbs.twimg.com/profile_images/1632249660835348480/qXQVbo4B_normal.jpg",7,0,0,0,0,0,361,632,33180,15,42491,NA,"RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74","https://t.co/O8Z4E5VM84",NA
"16","RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1859956921354289274","everyone","en","1859956921354289274","25055169",FALSE,2024-11-22 13:47:41,NA,"2009-03-18T10:49:01.000Z","1733790872360095776",FALSE,"","LISA SAVRAM","LISAAVRAM",FALSE,"https://pbs.twimg.com/profile_images/1859314015278694400/Owm_tt47_normal.jpg",7,0,0,0,0,0,136,884,9192,2,58260,NA,"RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74",NA,NA
"17","RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1859954467019673869","everyone","en","1859954467019673869","200475593",FALSE,2024-11-22 13:37:55,"Central FL","2010-10-09T11:54:19.000Z","1854125973454635267",FALSE,"""All that really matters is that the people you love are happy and healthy. Everything else is just sprinkles on the sundae."" -Paul William Walker IV","❤️💙MsLBee❤️💛","ELI119386",FALSE,"https://pbs.twimg.com/profile_images/1807201459353661441/ehb5MUgY_normal.jpg",7,0,0,0,0,0,593,743,63753,2,89500,NA,"RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74","https://t.co/7g3umbQ3FS",NA
"18","RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1859954337558286628","everyone","en","1859954337558286628","207228196",FALSE,2024-11-22 13:37:25,"United States","2010-10-24T20:57:38.000Z",NA,FALSE,"Avid weather enthusiasts, Pro Pool Player for APA, and a Dolphin fan since 1980.","Nathan Rice","njrice2004",FALSE,"https://pbs.twimg.com/profile_images/1626952459439509505/RJXhic9S_normal.jpg",7,0,0,0,0,0,1986,2364,177105,29,313641,NA,"RT @NWSTampaBay: X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74",NA,NA
"19","X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859953153539789277 photo 1","1859953153539789277","everyone","en","1859953153539789277","590195750",FALSE,2024-11-22 13:32:42,"Tampa Bay, Florida","2012-05-25T18:10:38.000Z",NA,FALSE,"Official Twitter account for the National Weather Service Tampa Bay Area, FL. Details: http://t.co/KKTK7cZlhK","NWS Tampa Bay","NWSTampaBay",TRUE,"https://pbs.twimg.com/profile_images/875684318441385984/xXJdcbmq_normal.jpg",7,1,7,0,3,3469,76967,711,55539,1767,5832,NA,"X (formerly Twitter):
Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/pvI64zbt74","https://t.co/X31SJ6MGAH",NA
"20","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859726622049579266","everyone","en","1859726622049579266","238653938",FALSE,2024-11-21 22:32:33,"Orbiting between Mars & Venus","2011-01-15T18:05:41.000Z","1860117911450591683",FALSE,"Sports; wine; Scotch; cars; writing; politics. 21st g-grandson of Edward I; 22nd g-grandson of Robert de Bruce; Son of Picts, Vascones, Franks, Vikings royalty","OldSaltCityAce 🇺🇸 🏴󠁧󠁢󠁳󠁣󠁴󠁿 👑","OldSaltCityAce",FALSE,"https://pbs.twimg.com/profile_images/378800000621029852/15f3366e3b17637522baaee2a180fc3c_normal.jpeg",16,0,0,0,0,0,4309,1838,451032,145,154743,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO","https://t.co/EQInLydih2",NA
"21","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859726092891992372","everyone","en","1859726092891992372","60403583",FALSE,2024-11-21 22:30:27,NA,"2009-07-26T21:40:25.000Z","1854586288071983252",FALSE,"AMDG + Soli Deo Gloria +JMJ+ Charity in all things! I see that world is rotten because of silence. St. Catherine of Siena; I want to do heaven's work on earth.K","Catherine of Siena","1catherinesiena",FALSE,"https://pbs.twimg.com/profile_images/1798772167200403456/IRMMg441_normal.jpg",16,0,0,0,0,0,9889,10638,734464,224,421680,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO",NA,NA
"22","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859667408518254793","everyone","en","1859667408518254793","1024152169346301952",FALSE,2024-11-21 18:37:15,NA,"2018-07-31T04:37:59.000Z",NA,FALSE,"🌈   cmerk767@gmail.com , 
weather enthusiast , cocorahs member , certified storm spotter ,  went to osuit truck diesel tech.","🌈 corey merkey 🏳️‍🌈","MerkeyCorey",FALSE,"https://pbs.twimg.com/profile_images/1778869372448124928/sfTfq1R5_normal.jpg",16,0,0,0,0,0,542,613,7189,0,95754,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO",NA,NA
"23","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859618531970588995","everyone","en","1859618531970588995","1214959374264930304",FALSE,2024-11-21 15:23:02,"Somewhere in the World 🌎","2020-01-08T17:17:55.000Z","1688516615904624640",FALSE,"DVM Candidate | Translational Research | Infectious Disease Research | Immunology | I retweet scholarships opportunities from notable mentors 🥂","Tunde Olowu.","OLOWUBABATUNDE2",FALSE,"https://pbs.twimg.com/profile_images/1631010311338708993/7fdPuz37_normal.jpg",16,0,0,0,0,0,958,2288,2536,0,7890,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO",NA,NA
"24","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859617741310918986","everyone","en","1859617741310918986","1311079359046852608",FALSE,2024-11-21 15:19:54,NA,"2020-09-29T23:05:11.000Z","1400691943298899968",FALSE,"2/11/2023
Twitter Alternarives
https://t.co/RbQ4FIrWbM

My tweets are parody, satire, jokes, hyperbolic 
speculation, spitballs, & bald-faced facts.","John Walling","JohnKI7YRA",FALSE,"https://pbs.twimg.com/profile_images/1311079839315587073/R1y6EhEm_normal.jpg",16,0,0,0,0,0,260,215,39477,2,18955,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO","https://t.co/o9lmIskVtd",NA
"25","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859617326326309239","everyone","en","1859617326326309239","1496843786646917127",FALSE,2024-11-21 15:18:15,NA,"2022-02-24T13:46:18.000Z",NA,FALSE,"Watching and praying","Nowimfound75 Mel","nowimfound75",FALSE,"https://pbs.twimg.com/profile_images/1496843936308109321/Rli4KwvK_normal.jpg",16,0,0,0,0,0,354,778,10463,0,21932,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO",NA,NA
"26","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859617190061768762","everyone","en","1859617190061768762","1299434347808854016",FALSE,2024-11-21 15:17:42,"United States","2020-08-28T19:51:22.000Z",NA,FALSE,"Country music fan! Go VOLS!","Angie Davis","AngelaR77257540",FALSE,"https://pbs.twimg.com/profile_images/1841113337871945733/3mgeIC4N_normal.jpg",16,0,0,0,0,0,584,3593,4022,1,26534,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO",NA,NA
"27","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859616799395889173","everyone","en","1859616799395889173","1681212607",FALSE,2024-11-21 15:16:09,"South Florida","2013-08-18T17:08:09.000Z","1788032102232981966",FALSE,"Florida GC specializing in roofing, hi-rise, home improvement, screen pool enclosures, hurricane impact windows, doors & shutter systems. Adopt... DON'T Shop...","Gulf Atlantic Ind of America, Inc. ®","GulfAtlanticInd",FALSE,"https://pbs.twimg.com/profile_images/440867519553736704/lA4HTjtj_normal.png",16,0,0,0,0,0,1319,1433,278710,106,47654,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO","https://t.co/hojvT952xo",NA
"28","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see  . http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico. https   x com NWSTampaBay status 1859587697444262321 photo 1","1859615763251794016","everyone","en","1859615763251794016","14342564",FALSE,2024-11-21 15:12:02,"USA (Formerly @usNOAAgov)","2008-04-09T15:26:21.000Z",NA,FALSE,"NOAA provides science, service and stewardship to protect life, property & Earth's natural resources. An agency of @CommerceGov. Join us on Instagram & Facebook","NOAA","NOAA",TRUE,"https://pbs.twimg.com/profile_images/1770469994297716736/T76gtJDu_normal.jpg",16,0,0,0,0,0,1262165,148,19338,12474,312,NA,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in MANATEE county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz https://t.co/nk1MPJcLKO","https://t.co/4RB5BEvHoD",NA
