"","text","reply_settings","conversation_id","possibly_sensitive","id","created_at.x","lang","author_id","protected","url","verified","description","location","name","created_at.y","username","profile_image_url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","in_reply_to_user_id","pinned_tweet_id"
"11","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777325535967773032",FALSE,"1777325535967773032",2024-04-08 13:20:03,"en","20930240",FALSE,NA,FALSE,"🇺🇦 😷 #StandWithUkraine #NoVid “Morality in terms of behavior, not in terms of theology” Frank Zappa","Lakeland, FL","Donna in Lakeland FL","2009-02-15T19:25:19.000Z","SouthernJewel","https://pbs.twimg.com/profile_images/1697719663659012096/GgK5jixS_normal.jpg",6,0,0,0,0,0,1540,333,126171,24,184578,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,"1633881770528473092"
"12","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777321367500677193",FALSE,"1777321367500677193",2024-04-08 13:03:29,"en","377666632",FALSE,NA,FALSE,"Radio man, Podcast man, Writer man","Land O Lakes, Florida","Craig Kopp","2011-09-21T22:53:34.000Z","radiocraigkopp","https://pbs.twimg.com/profile_images/1490711932650889217/kLsdYtt5_normal.jpg",6,0,0,0,0,0,1019,1546,39386,60,35517,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"13","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777320751311299047",FALSE,"1777320751311299047",2024-04-08 13:01:02,"en","785425199432863744",FALSE,NA,FALSE,"Analyst, mother, RN, voter.","Florida","SSton","2016-10-10T10:22:14.000Z","SharinStone","https://pbs.twimg.com/profile_images/1046717212273315840/zxps2pAr_normal.jpg",6,0,0,0,0,0,4717,4689,220808,31,918404,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"14","Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777319985901088864",FALSE,"1777319985901088864",2024-04-08 12:58:00,"en","17544442",FALSE,"https://t.co/KBo4cZ4tOe",FALSE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","Tampa, FL","WUSF","2008-11-21T20:07:08.000Z","wusf","https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg",6,0,4,0,0,163,15044,2342,40363,478,2708,"Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
"15","@YellowSnwman Sunshine Skyway in St. Petersburg, Florida accident was worse. There were bodies floating up for weeks. It looks like red tide except they were human beings, floating and not fish","everyone","1772595650544173504",FALSE,"1772644620494688489",2024-03-26 15:19:46,"en","1769863215083581441",FALSE,NA,FALSE,"cowboy’s fan. no porn if you wanna get blocked follow me stay out of my DM‘s unless you have something sensible to talk about.",NA,"JD","2024-03-18T23:08:42.000Z","JamesLong344712","https://pbs.twimg.com/profile_images/1769876486738018304/0NjJrK2q_normal.jpg",0,1,1,0,0,5,14,31,271,0,111,"@YellowSnwman Sunshine Skyway in St. Petersburg, Florida accident was worse. There were bodies floating up for weeks. It looks like red tide except they were human beings, floating and not fish","894931909716975616",NA
"16","A Concerning Mix of Red Tide and High Levels of Arsenic and HA -A9 Residents and visitors to St. Petersburg, be cautious!  .https://t.co/NE34U6nPfE via @FacebookWatch","everyone","1770576689174609990",FALSE,"1770576689174609990",2024-03-20 22:22:33,"en","1677355831740755968",FALSE,NA,FALSE,"Nonprofit Organization. Providing safe drinking water in America while increasing social awareness and mitigating water pollution 🦋🇺🇸",NA,"Earth Water","2023-07-07T16:36:26.000Z","earthwater4all","https://pbs.twimg.com/profile_images/1677356602607771658/atMBPJQW_normal.jpg",0,0,0,0,0,6,50,14,109,0,47,"A Concerning Mix of Red Tide and High Levels of Arsenic and HA -A9 Residents and visitors to St. Petersburg, be cautious!  .https://t.co/NE34U6nPfE via @FacebookWatch",NA,NA
"17","@jimstep260853 We went to St Petersburg on Florida's gulf coast, only to find we couldn't go into the water, due to Red Tide. Dead fish everywhere, so we checked out, drove across Alligator Alley &amp; went back to Disney for another 10 days!","everyone","1763322323212362097",FALSE,"1763362199119044860",2024-03-01 00:34:44,"en","3687054329",FALSE,NA,FALSE,"NYC lady born & raised. Proud daughter of WWII U.S. Army Vet. Living in UK. No lists.  🌊 🗽🍎💖🗽🇺🇸🇬🇧","Yorkshire and The Humber, Engl","diane wheatley","2015-09-17T15:40:11.000Z","DianeDidi15","https://pbs.twimg.com/profile_images/1497756704326529026/_4Wc3MaF_normal.jpg",0,0,1,0,0,157,3067,4622,101869,4,381802,"@jimstep260853 We went to St Petersburg on Florida's gulf coast, only to find we couldn't go into the water, due to Red Tide. Dead fish everywhere, so we checked out, drove across Alligator Alley &amp; went back to Disney for another 10 days!","1674083297486417921","1528886927214231554"
"18","@rohindhar imo Fl is going to be dealing with some major environmental issues too. that red tide coming up the gulf coast is bad. everyone in st pete coughing on the beach.
that callahoosie river pollution needs to get fixed. 
but Fl politics are a mess right now.","everyone","1762709591731900681",FALSE,"1762829870348804228",2024-02-28 13:19:27,"en","196021101",FALSE,NA,FALSE,"mstrs in physics and in comp eng.     Enjoy my kids, my dog sugar, jiu jitsu, aquariums, diving, sailing, and chess.  
cloud computing","Newton, MA","joe conery","2010-09-28T03:39:24.000Z","meetgrinder","https://pbs.twimg.com/profile_images/2236413468/P1010003_normal.jpg",0,0,0,0,0,56,267,628,21706,2,9889,"@rohindhar imo Fl is going to be dealing with some major environmental issues too. that red tide coming up the gulf coast is bad. everyone in st pete coughing on the beach.
that callahoosie river pollution needs to get fixed. 
but Fl politics are a mess right now.","196021101","1006245246336995329"
"19","@PlaneGirl26 I hope you have great weather. No hurricanes predicted for this week. And no red tides with dead fish. Happened once when I was in St Pete Beach.","everyone","1755237383073677513",FALSE,"1755356640264806763",2024-02-07 22:23:30,"en","822455582",FALSE,NA,FALSE,"Mental Health Therapist and Life/Relationship Coach","University Place, WA..        ","Gregory Lease","2012-09-14T01:09:37.000Z","GregoryLease","https://pbs.twimg.com/profile_images/2609672362/x6ftcbefjwdywljt1f5c_normal.jpeg",0,0,1,0,0,11,222,360,3273,6,11894,"@PlaneGirl26 I hope you have great weather. No hurricanes predicted for this week. And no red tides with dead fish. Happened once when I was in St Pete Beach.","1724494458534682624",NA
"20","@courtneyknill It's because st pete is insane and bans everything and he was all ""hey maybe it's cool if people are allowed to plant vegetables anywhere they want on their own property"" and people got REAL mad because fertilizer by the bay causes the red tide but allowing gardens is totally… https://t.co/zhjA6MYc9t","everyone","1745295226862723193",FALSE,"1745435892179739027",2024-01-11 13:21:59,"en","1394662479200985094",FALSE,NA,FALSE,"🌻End Child Trafficking 
🌻Runway Model 
🌻Marketer
🌻Live Music St Pete
🌻🇮🇹🇺🇲
🌻🐈‍⬛🐈‍⬛
🌻AnCap✝️","Tampa, FL","Hannah Carter Thorn","2021-05-18T14:33:47.000Z","MissThorn_","https://pbs.twimg.com/profile_images/1729212048670674944/ZVqcr7He_normal.jpg",0,0,3,0,0,128,7483,2383,22249,18,65478,"@courtneyknill It's because st pete is insane and bans everything and he was all ""hey maybe it's cool if people are allowed to plant vegetables anywhere they want on their own property"" and people got REAL mad because fertilizer by the bay causes the red tide but allowing gardens is totally… https://t.co/zhjA6MYc9t","2741773954","1434284476822081554"
"21","@SocratesPoly @srzjwalters @craigtimes @SaundraAmrhein That red tide snuck up on me (and everyone else) once at Pass a Grille. No warnings and nothing showed up on my phone but I wondered if that was why I had a coughing fit. It had supposedly passed. 🤷‍♀️","everyone","1706057325813911599",FALSE,"1706101345844072484",2023-09-25 00:20:33,"en","819350246278963200",FALSE,NA,FALSE,"Scottish and Sicilian roots. Don't make me block you.","Colorado970","MommaMia","2017-01-12T01:08:16.000Z","MommaMia6512","https://pbs.twimg.com/profile_images/1053269020626038784/gZ-R4THn_normal.jpg",0,1,0,0,0,21,1498,597,80308,3,168382,"@SocratesPoly @srzjwalters @craigtimes @SaundraAmrhein That red tide snuck up on me (and everyone else) once at Pass a Grille. No warnings and nothing showed up on my phone but I wondered if that was why I had a coughing fit. It had supposedly passed. 🤷‍♀️","1421881788536872960","1705624434672009607"
"22","@RonFilipkowski She represents St Pete Beach. Half the year it's busy, hopefully void of Red Tide or BP oil spills, the other half of the year it's a ghost town and businesses can't afford their staff.  Sounds like someone didn't get her an umbrella drink quick enough.","everyone","1703942387800646072",FALSE,"1704230674637471810",2023-09-19 20:27:10,"en","1634541796205248514",FALSE,NA,FALSE,"Florida resident living in the NPR, Massachusetts native, Husband, Father of 2, Rays,UMass&Patriots fan, Marvel, SciFi, History geek","Florida, USA","Ted Hathaway","2023-03-11T13:09:13.000Z","TedHathaway9","https://pbs.twimg.com/profile_images/1683946244111048707/wkqDWUzj_normal.jpg",0,0,0,0,0,14,9,88,64,0,NA,"@RonFilipkowski She represents St Pete Beach. Half the year it's busy, hopefully void of Red Tide or BP oil spills, the other half of the year it's a ghost town and businesses can't afford their staff.  Sounds like someone didn't get her an umbrella drink quick enough.","1298372735383605249",NA
"23","RT @BrujaAnon: Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
. https   www tampabay com news environment 2023 08 21 st petersburg sewage spill riviera bay weedon island","everyone","1693730857343709343",FALSE,"1693730857343709343",2023-08-21 21:04:39,"en","1119318824975831040",FALSE,NA,FALSE,"#GetBoosted #CovidIsAirborne #BringBackMasks #PostcardsToVoters #FLDemsVBM #VoteBlue2024 #BlueWave #BLM #DeathSantisIsKillingFloridians #NeverDeSantis",NA,"SusieQGnv 🌻😷😎🌴🦎🦋🌊🏳️‍🌈","2019-04-19T19:16:18.000Z","GnvSusie","https://pbs.twimg.com/profile_images/1658117105122770947/u1OXcq-V_normal.jpg",1,0,0,0,0,0,413,1150,57892,0,NA,"RT @BrujaAnon: Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
https://t.co/MweUXXUqKA",NA,"1389626019351511044"
"24","Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
. https   www tampabay com news environment 2023 08 21 st petersburg sewage spill riviera bay weedon island","everyone","1693728616939491373",FALSE,"1693728616939491373",2023-08-21 20:55:44,"en","1219032025769881605",FALSE,NA,FALSE,"Retired military. #WritingCommunity #PTSD #MS #LGBTQ #Hypoparathyroidism #RA #depression #TBI #FBR #atheist #dogs #cats CanoNina on Mastadon and Post 😊","Florida, USA","MSFighter 🇺🇦♿🗝☮️🏳️‍🌈","2020-01-19T23:01:09.000Z","BrujaAnon","https://pbs.twimg.com/profile_images/1350116284327981058/3_GmLbhP_normal.jpg",1,0,1,0,0,20,2255,4329,108716,10,NA,"Hey @GovRonDeSantis
More shit in the bay to make things like vibrio grow and red tide. But you don't care, you're to busy in another state talking about slitting bureaucrats throats and shooting people at the border to care about the cesspool here🤬
https://t.co/MweUXXUqKA",NA,NA
"25","@unhealthytruth @aurajenn I had to leave St. Petersburg last spring early because of Red tide. Four trips to urgent care in two months.","everyone","1687963066799947776",FALSE,"1688229399387140096",2023-08-06 16:43:49,"en","822676461823885313",FALSE,NA,FALSE,"Light Warrior.",NA,"Karen","2017-01-21T05:25:27.000Z","KarenSc38678909","https://pbs.twimg.com/profile_images/1056706995955351552/sUB0IxK0_normal.jpg",0,1,1,0,0,37,1290,1748,32059,7,NA,"@unhealthytruth @aurajenn I had to leave St. Petersburg last spring early because of Red tide. Four trips to urgent care in two months.","18093097",NA
