"","text","id","lang","created_at.x","possibly_sensitive","author_id","conversation_id","reply_settings","in_reply_to_user_id","created_at.y","profile_image_url","username","description","name","protected","verified","pinned_tweet_id","url","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links","reply.to.thread.no.term"
"11","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225253152657678338","en",2020-02-06 03:01:30,FALSE,"52378738","1225253152657678338","everyone",NA,"2009-06-30T12:17:14.000Z","https://pbs.twimg.com/profile_images/1498302376532455429/-8Iu5mCv_normal.jpg","antoniodiasri","artist    designer    writer   musician

Find me somewhere I'm not allowed to say where…","Antonio Dias",FALSE,FALSE,"1581329693143617541","https://t.co/XvznCtxtXh","Rhode Island, United States",24,0,0,0,0,1665,3302,139710,63,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"12","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225253305703698433","en",2020-02-06 03:02:06,FALSE,"3342226523","1225253305703698433","everyone",NA,"2015-06-23T01:35:11.000Z","https://pbs.twimg.com/profile_images/1327964565511008258/yLOKmian_normal.jpg","kovertkatie501","Chef by Trade, Love all Animals, Humans Suck, Independent, Love yourself and the rest is easy. Don't Judge!   LIBRA","Michelle Zimmerman",FALSE,FALSE,"1588530673702535171",NA,"Massachusetts, USA & N.H.",24,0,0,0,0,4108,4800,73733,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"13","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225253599170658311","en",2020-02-06 03:03:16,FALSE,"514615477","1225253599170658311","everyone",NA,"2012-03-04T18:27:33.000Z","https://pbs.twimg.com/profile_images/1109657843777576962/Fc1VE8VV_normal.jpg","demar19671969","I DO NOT CONSENT!!!","}}GRAVEYARD CARETAKER-GRAV3DIGG3R{{",FALSE,FALSE,NA,NA,"Hippy Hill South Dakota ",24,0,0,0,0,642,1347,70023,5,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"14","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225254064176406529","en",2020-02-06 03:05:07,FALSE,"4229022553","1225254064176406529","everyone",NA,"2015-11-14T00:34:07.000Z","https://pbs.twimg.com/profile_images/1263540756662255620/MHmCSPQj_normal.jpg","garduno_mark","","Mark Garduno",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,486,450,102577,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"15","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225254124150640640","en",2020-02-06 03:05:21,FALSE,"953807880037089280","1225254124150640640","everyone",NA,"2018-01-18T01:54:54.000Z","https://pbs.twimg.com/profile_images/1389033840216141825/9L9vOzEs_normal.jpg","kergan6","Bone and Fossil Hunter 🇺🇦☮️🏳️‍🌈🦕🦖","kergan",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,166,815,19352,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"16","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225254686090874880","en",2020-02-06 03:07:35,FALSE,"768574541798834176","1225254686090874880","everyone",NA,"2016-08-24T22:23:45.000Z","https://pbs.twimg.com/profile_images/1596367458503634944/EsaSkxHT_normal.jpg","OasisMountain","I enjoy the outdoors & I love all animals/wildlife🐾🦈I’ll always say/let you how I feel straight up!  I’m not a hunter nor would I ever want to be one😡","Rob Armstrong",FALSE,FALSE,"973226456993095687",NA,"Calgary, Alberta",24,0,0,0,0,1640,661,549543,263,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"17","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225255504508641280","en",2020-02-06 03:10:51,FALSE,"986083340473085953","1225255504508641280","everyone",NA,"2018-04-17T03:26:03.000Z","https://pbs.twimg.com/profile_images/1073174129405132800/gsxcoEkf_normal.jpg","HazelONeil16","Am not interested in BITCOIN!","J. Xuan",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,101,200,19108,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"18","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225256528594317315","en",2020-02-06 03:14:55,FALSE,"1098975312","1225256528594317315","everyone",NA,"2013-01-17T18:49:15.000Z","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","d56mon","In the whole wide world: 1 person calls me honey, 4 call me mom and 4 call me Gramsie. Vote Blue!","Monica",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,661,2055,45977,2,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"19","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225258269658079239","en",2020-02-06 03:21:50,FALSE,"791836876592128000","1225258269658079239","everyone",NA,"2016-10-28T02:59:57.000Z","https://pbs.twimg.com/profile_images/791838417688551424/TFIGBevs_normal.jpg","achwoo","Canada-based journo/academic. ☸ Previous base Germany. Geopolitics, environment, animal welfare.  Ex-military, self defence instructor. ⛔ DM's. Twitter🚫tinder!","Anthony-Hector Woo 🇺🇦🇨🇦🇩🇪🇪🇦🇪🇺🏳️‍🌈",FALSE,FALSE,NA,NA,"Vancouver, BC, Canada",24,0,0,0,0,449,614,24615,1,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"20","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225259618714169345","en",2020-02-06 03:27:11,TRUE,"984618584163979264","1225259618714169345","everyone",NA,"2018-04-13T02:25:38.000Z","https://pbs.twimg.com/profile_images/1259105032487788551/IXqNu0Ib_normal.jpg","KennellLaura","Hydrogeochemist is my title at work, but mom is my most important job. Love all animals, and have a menagerie of my own. Let’s save our planet!","Laura Kennell",FALSE,FALSE,NA,NA,"Ontario, Canada",24,0,0,0,0,70,82,8187,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"21","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225260628463497217","en",2020-02-06 03:31:12,FALSE,"4815800321","1225260628463497217","everyone",NA,"2016-01-15T16:40:03.000Z","https://pbs.twimg.com/profile_images/1441431070126247937/kV_h6GXg_normal.jpg","Safigirl17","Here to advocate for animals and the environment. I also indulge in a bit of politics. #Vegan #CompassionOverKilling #BanTrapping","Kristina Snyder Ⓥ",FALSE,FALSE,NA,NA,"New Hampshire, USA",24,0,0,0,0,842,1651,12114,3,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"22","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225261515885993985","en",2020-02-06 03:34:44,FALSE,"23100265","1225261515885993985","everyone",NA,"2009-03-06T18:40:12.000Z","https://pbs.twimg.com/profile_images/109537832/bd0427_1m_normal.jpg","Surfercats","","Islandcat",FALSE,FALSE,NA,NA,"Atlanta",24,0,0,0,0,262,722,32930,21,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"23","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225261580033679360","en",2020-02-06 03:34:59,FALSE,"1403266076","1225261580033679360","everyone",NA,"2013-05-04T19:54:56.000Z","https://pbs.twimg.com/profile_images/1465896175622672384/yo7lC1vz_normal.jpg","m_tmmelle","Widow of Vietnam vet, Mother of 4, Grandmother of 9,enjoying family, friends & retirement,husband &father USAF vets,son Army vet. #Biden-Harris","Margery m",FALSE,FALSE,NA,NA,"United States",24,0,0,0,0,11792,12024,82046,9,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"24","@seavoicenews With all the evidence out there...this is such a bad idea!. ","1225261799861211136","en",2020-02-06 03:35:52,FALSE,"463870096","1225252933165559808","everyone","923281979986063362","2012-01-14T15:37:10.000Z","https://pbs.twimg.com/profile_images/1273428565468385280/elxLr7GT_normal.jpg","marianneCdupuis","Entrepreneur, loves animals, craves nature, and learning from the Twitter community. Planning to land someplace on Vancouver Island.","Marianne Dupuis",FALSE,FALSE,"1635675998502154240",NA,"Victoria, Canada",0,0,0,0,0,308,1075,5052,12,"@seavoicenews With all the evidence out there...this is such a bad idea!",TRUE
"25","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225264461616836608","en",2020-02-06 03:46:26,FALSE,"771830370736017408","1225264461616836608","everyone",NA,"2016-09-02T22:01:15.000Z","https://pbs.twimg.com/profile_images/1596367617656500225/ejdOLrV3_normal.jpg","4Everanimalz1","I like the outdoors,animals/wildlife🐾🦈etc.I’ll always be straight up with you & tell you how I feel. I’m not a hunter nor would I want to ever be one😡","Robert Armstrong",FALSE,FALSE,"973234216350576642",NA,"Calgary, Alberta",24,0,0,0,0,1801,651,537707,265,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"26","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225273535842652160","en",2020-02-06 04:22:30,FALSE,"628660983","1225273535842652160","everyone",NA,"2012-07-06T17:48:57.000Z","https://pbs.twimg.com/profile_images/956874095613882368/AbPx_FJo_normal.jpg","FrancescPeters","Scientist, member of HOPE (Plankton Ecology & Ocean Health) Research Group at @ICMCSIC. Catalan & German. Love cooking.
Ideas are my own?","Francesc Peters",FALSE,FALSE,NA,"https://t.co/UuKyN3It3t","Catalunya",24,0,0,0,0,411,553,6252,8,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"27","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225280915083059200","en",2020-02-06 04:51:49,FALSE,"928271499609432064","1225280915083059200","everyone",NA,"2017-11-08T14:42:26.000Z","https://pbs.twimg.com/profile_images/954506381545148417/64X-uur8_normal.jpg","GoldenEagle987","knowledge will give you power, but character respect- Bruce Lee","wildlife enthusiast",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,307,388,26061,3,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"28","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225300145065136129","en",2020-02-06 06:08:14,FALSE,"1046957174369525761","1225300145065136129","everyone",NA,"2018-10-02T02:56:56.000Z","https://pbs.twimg.com/profile_images/1104948234038976512/_UJN0Wv9_normal.jpg","rhonda_ulrich","Mother of one, traveler,foodie, paranormal interested, vote BLUE, I am very married, NO DM'S PLEASE I'M NOT LOOKING FOR A MAN","Rhonda",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,618,459,26257,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"29","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225336659232735232","en",2020-02-06 08:33:19,FALSE,"205084628","1225336659232735232","everyone",NA,"2010-10-20T03:34:04.000Z","https://pbs.twimg.com/profile_images/1130553679554129920/_oeBrsAT_normal.jpg","damonrem","","DR",FALSE,FALSE,NA,NA,NA,24,0,0,0,0,97,88,33812,0,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"30","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225342809735147521","en",2020-02-06 08:57:46,FALSE,"2713376025","1225342809735147521","everyone",NA,"2014-07-15T22:29:43.000Z","https://pbs.twimg.com/profile_images/876849075123040260/0cn2RI6h_normal.jpg","louisestilgoe","Cornish born . Hate plastic, austerity, hypocrites & Tory govt. love nature cats kids textiles Pensioner lifelong mobility probs Pro Europe","Louise💙🧶🥟😷",FALSE,FALSE,NA,NA,"Lanson",24,0,0,0,0,1257,1517,159539,49,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"31","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225343153718333440","en",2020-02-06 08:59:08,FALSE,"1383647425","1225343153718333440","everyone",NA,"2013-04-27T05:31:33.000Z","https://pbs.twimg.com/profile_images/1552668169986359296/XG_hBoDX_normal.jpg","TottenBill","I got my original account back. 
vaxed and boosted.
WARNING I DO NOT FOLLOW BACK. REPLY TWEETS DON'T COUNT, ALSO YOU MUST BE FOLLOWING ME
TO GET THE SPECIAL RT.","Bill Totten",FALSE,FALSE,NA,NA,"Middleburg Florida",24,0,0,0,0,2277,67,875279,140,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"32","RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225355511425589248","en",2020-02-06 09:48:14,FALSE,"981127017889443840","1225355511425589248","everyone",NA,"2018-04-03T11:11:24.000Z","https://pbs.twimg.com/profile_images/1579949027952656384/XKNfInAS_normal.jpg","nichrien","I will always a maverick..always 👊🙏
Solo diver.they couldn't follow me🤫😏loves the sea..🐳🐳
abolish all weapons..nothing is worth killing for nothing👊🙏","A.J",FALSE,FALSE,NA,"https://t.co/LfHcCpj8TX","Stade Rochelais...Fan",24,0,0,0,0,51,89,13237,1,"RT @seavoicenews: If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
"33","@seavoicenews 😢. ","1225425521229651968","qme",2020-02-06 14:26:26,FALSE,"520786003","1225252933165559808","everyone","923281979986063362","2012-03-10T22:24:18.000Z","https://pbs.twimg.com/profile_images/378800000559769857/35b758b80dbfbd2be90e1295cb507213_normal.jpeg","SusieMarie28","I Love GOD, Family, Friends and Nature. My likes are; music, movies, NASCAR, crafts, bird watching and reading the Bible.","Susie Marie",FALSE,FALSE,NA,NA,"Monroe",0,0,0,0,0,41,194,2263,0,"@seavoicenews 😢",TRUE
