"","text","created_at.x","possibly_sensitive","lang","author_id","conversation_id","id","reply_settings","description","location","profile_image_url","url","username","created_at.y","name","verified","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","public_metrics.y_media_count","text_with_display_links","pinned_tweet_id","in_reply_to_user_id","reply.to.thread.no.term","geo_place_id"
"12","⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1864761913235632462 video 1",2024-12-05 20:01:00,FALSE,"en","236390420","1864761913235632462","1864761913235632462","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,45,1155,427,10634,21,2598,4850,"⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/Vxq47EFtY6",NA,NA,NA,NA
"13","State environmental officials have noted fish kills suspected to be caused by red tide in Pinellas County, along with reports of respiratory irritation in both Pinellas and Sarasota counties...



#PIESun. https   pie sun com 2024 12 05 red tide persists in southern pinellas manatee and sarasota counties",2024-12-05 19:30:23,FALSE,"en","1839381876211113984","1864754210719350950","1864754210719350950","everyone","Local St. Pete-Clearwater, Florida News, Events, and Destinations","St. Petersburg, Florida","https://pbs.twimg.com/profile_images/1839382051910520832/-AsxpgmZ_normal.jpg","https://t.co/5lLoq2abmx","ThePIESun","2024-09-26T19:10:16.000Z","St. Pete-Clearwater Sun",FALSE,FALSE,0,0,0,0,0,12,7,39,465,0,9,9,"State environmental officials have noted fish kills suspected to be caused by red tide in Pinellas County, along with reports of respiratory irritation in both Pinellas and Sarasota counties...

https://t.co/cDa5UZHWuW

#PIESun",NA,NA,NA,NA
"14","🏖️⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1864655461628207612 video 1",2024-12-05 12:58:00,FALSE,"en","236390420","1864655461628207612","1864655461628207612","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,64,1155,427,10634,21,2598,4850,"🏖️⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/SCqtuAFAiF",NA,NA,NA,NA
"15","RT @wusf: But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
. https   www wusf org environment 2024 12 04 red tide lingers in southern pinellas manatee and sarasota counties",2024-12-05 12:25:46,FALSE,"en","377666632","1864647349710278935","1864647349710278935","everyone","Radio man, Podcast man, Writer man","Land O Lakes, Florida","https://pbs.twimg.com/profile_images/1490711932650889217/kLsdYtt5_normal.jpg",NA,"radiocraigkopp","2011-09-21T22:53:34.000Z","Craig Kopp",FALSE,FALSE,1,0,0,0,0,0,958,1523,43211,51,40109,259,"RT @wusf: But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
https://t.co/0DOri8OIwi",NA,NA,NA,NA
"16","But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
. https   www wusf org environment 2024 12 04 red tide lingers in southern pinellas manatee and sarasota counties",2024-12-05 12:20:29,FALSE,"en","17544442","1864646021042852222","1864646021042852222","everyone","WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","Tampa, FL","https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg","https://t.co/KBo4cZ4tOe","wusf","2008-11-21T20:07:08.000Z","WUSF",FALSE,FALSE,1,0,1,0,0,81,14952,2307,41565,456,2726,4732,"But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
https://t.co/0DOri8OIwi","1787836246024437952",NA,NA,NA
"17","Dead fish are starting to wash up on our shore due to toxins in the water. The FWC identified red tide in Pinellas, Manatee and Sarasota Counties. . https   www abcactionnews com news region pinellas experts monitor red tide blooms in pinellas manatee and sarasota counties",2024-12-03 01:45:00,FALSE,"en","15138087","1863761321759571988","1863761321759571988","everyone","ABC Action News is Taking Action For You! Award-winning Breaking News coverage in the Tampa Bay area","Tampa","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg","https://t.co/VHYcXWsUHd","abcactionnews","2008-06-16T20:08:51.000Z","ABC Action News",FALSE,FALSE,0,0,0,0,0,832,180740,630,202154,1589,4869,53518,"Dead fish are starting to wash up on our shore due to toxins in the water. The FWC identified red tide in Pinellas, Manatee and Sarasota Counties. https://t.co/RCQGZUPZtz",NA,NA,NA,NA
"18","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-03 01:05:07,FALSE,"en","1588410537741897728","1863751284387443158","1863751284387443158","everyone","i'm Certified Skywarn Storm Spotter through NWS Tampa Bay  Future meteorologist-storm chaser- Weather Enthusiast follow me  for more thank you"," florida ","https://pbs.twimg.com/profile_images/1826405251013828608/qWtbuLeM_normal.jpg","https://t.co/rnqPbhdBsQ","FLhurricanes1","2022-11-04T05:59:56.000Z","Florida’s Stormchasing Adventures",FALSE,FALSE,8,0,0,0,0,0,459,2032,2437,4,10293,28,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA,NA
"19","🏖️⚠️Red tide is still very present along Florida's Gulf Coast, especially in Sarasota, Manatee, Hillsborough and Pinellas counties. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222.
. https   www wtsp com article news red tide red tide current conditions map florida 67 7d9d432d 88c7 4397 937b 7db37145b4ac",2024-12-02 17:01:00,FALSE,"en","236390420","1863629451772432841","1863629451772432841","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,29,1172,426,10558,21,2598,4808,"🏖️⚠️Red tide is still very present along Florida's Gulf Coast, especially in Sarasota, Manatee, Hillsborough and Pinellas counties. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222.
https://t.co/2QV86V7aoR",NA,NA,NA,NA
"20","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 16:19:05,FALSE,"en","1651977795180822529","1863618903261266078","1863618903261266078","everyone","🐬🏳️‍🌈🏳️‍⚧️
Florida native, Iifelong Miami Dolphins fan.  Mom, Grandma, BLM, Pro-Choice. 🔩 DeFascist and Trump.",NA,"https://pbs.twimg.com/profile_images/1652000848233263109/2ViG0vxG_normal.jpg",NA,"SuzanneBos43679","2023-04-28T15:57:54.000Z","Suzanne@cookinmaama",FALSE,FALSE,8,0,0,0,0,0,1762,1537,171308,8,115483,1471,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx","1792611447194968218",NA,NA,NA
"21","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 15:45:49,FALSE,"en","741032004460892160","1863610530893570135","1863610530893570135","everyone","ADULT CONTENT 21+"," FLORIDA","https://pbs.twimg.com/profile_images/1086140139913596928/rBVCXCBg_normal.jpg",NA,"overandout003","2016-06-09T22:19:32.000Z","BARN",FALSE,FALSE,8,0,0,0,0,0,3459,1854,220352,20,392506,40919,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx","1437973857584001026",NA,NA,NA
"22","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 15:11:19,FALSE,"en","2815093011","1863601847023321322","1863601847023321322","everyone","We're a community of moms and dads who are uniting for clean air and our kids’ health in #Florida.","Florida","https://pbs.twimg.com/profile_images/1410583600727212032/BxDzulot_normal.jpg","https://t.co/W1TsiLeUKt","CleanAirMoms_FL","2014-10-08T11:54:12.000Z","Florida Moms",FALSE,FALSE,8,0,0,0,0,0,1145,1412,8607,44,9179,805,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx","1859334495960256988",NA,NA,NA
"23","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 14:58:54,FALSE,"en","2507601764","1863598724183625934","1863598724183625934","everyone","@NOAA's National Centers for Coastal Ocean Science is a fed govt office. Verification: https://t.co/oYrBZk5e0j","United States of America","https://pbs.twimg.com/profile_images/1816860590708584448/7jL_n6VN_normal.jpg","https://t.co/4LXAlnxJEs","noaacoastalsci","2014-05-19T14:43:58.000Z","NOAA Coastal Ocean Science",FALSE,FALSE,8,0,0,0,0,0,6493,222,2517,159,1287,1674,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx","1802716432146350427",NA,NA,NA
"24","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 14:49:19,FALSE,"en","831234840628445186","1863596314287579259","1863596314287579259","everyone","Praedictix relies on the human factor. Connect with our expert meteorologists and learn how we can personalize your weather narrative.","Minneapolis, MN","https://pbs.twimg.com/profile_images/831630014978289665/n2ngk-Ow_normal.jpg","https://t.co/V42YPIHdiK","Praedictix","2017-02-13T20:13:24.000Z","Praedictix Weather",FALSE,FALSE,8,0,0,0,0,0,1514,1482,17080,26,5368,6180,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx","1653505481766326296",NA,NA,NA
"25","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 14:36:12,FALSE,"en","239613246","1863593011482968134","1863593011482968134","everyone","",NA,"https://pbs.twimg.com/profile_images/1455202921046499339/6GSPY0lD_normal.jpg",NA,"chaser84","2011-01-18T01:18:21.000Z","chaser",FALSE,FALSE,8,0,0,0,0,0,917,5135,53253,4,132166,6929,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA,NA
"26","Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-02 14:34:57,FALSE,"en","590195750","1863592695341695254","1863592695341695254","everyone","Official Twitter account for the National Weather Service Tampa Bay Area, FL. Details: http://t.co/KKTK7cZlhK","Tampa Bay, Florida","https://pbs.twimg.com/profile_images/875684318441385984/xXJdcbmq_normal.jpg","https://t.co/X31SJ6MGAH","NWSTampaBay","2012-05-25T18:10:38.000Z","NWS Tampa Bay",TRUE,FALSE,8,0,14,1,0,2831,76830,711,55558,1765,5835,15756,"Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA,NA
"27","The Florida Fish and Wildlife Conservation Commission (FWC) has detected low levels of red tide (K. brevis) in Pinellas County over the past week. Sample processing is ongoing. Check Red Tide Status:  or 
(1/2) . https   myfwc maps arcgis com apps View index html. https   pinellas gov red tide. https   x com TresIslandFL status 1863591457426190557 photo 1",2024-12-02 14:30:01,FALSE,"en","95925121","1863591457426190557","1863591457426190557","everyone","Treasure Island, located along the Gulf of Mexico, is home to white sandy beaches, pristine waters, hotels, restaurants and family-friendly attractions.","Treasure Island, FL","https://pbs.twimg.com/profile_images/1673324897206927367/8Llo51gE_normal.jpg","https://t.co/3capR2Wztt","TresIslandFL","2009-12-10T15:40:22.000Z","Treasure Island, FL",TRUE,FALSE,0,1,6,0,0,490,5399,156,4742,48,519,3048,"The Florida Fish and Wildlife Conservation Commission (FWC) has detected low levels of red tide (K. brevis) in Pinellas County over the past week. Sample processing is ongoing. Check Red Tide Status: https://t.co/EmSRanWiEl or https://t.co/71ccwqpUio
(1/2) https://t.co/FWcyYnmIEK",NA,NA,NA,NA
"28","Red tide warning for anyone heading to beaches near Tampa Bay. Heavy concentrations of the toxin were found at four beaches in Sarasota County and at Anna Maria Island in Manatee County and Fort De Soto in Pinellas County. #Poison Help 1-800-222-1222.
. https   health wusf usf edu health news florida 2024 11 17 red tide is on the march along beaches in the tampa bay area",2024-11-19 15:01:06,FALSE,"en","236390420","1858888237491908671","1858888237491908671","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,39,1205,428,10397,21,2595,NA,"Red tide warning for anyone heading to beaches near Tampa Bay. Heavy concentrations of the toxin were found at four beaches in Sarasota County and at Anna Maria Island in Manatee County and Fort De Soto in Pinellas County. #Poison Help 1-800-222-1222.
https://t.co/PMxF9qFevD",NA,NA,FALSE,NA
