"","text","possibly_sensitive","id","created_at.x","author_id","conversation_id","reply_settings","lang","in_reply_to_user_id","profile_image_url","location","protected","description","verified","username","name","created_at.y","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"11","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast. ",FALSE,"1082937280715730945",2019-01-09 09:49:02,"9581122","1082937280715730945","everyone","en",NA,"https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","Sarasota, Florida",FALSE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1",TRUE,"mysuncoast","ABC7 Sarasota","2007-10-21T15:57:27.000Z","http://t.co/nQUeAxZ5Ke",NA,3,0,0,0,0,67072,855,89861,690,NA,"RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast",FALSE
"12","And yet another 80,000 gallons of raw sewage is dumped into Florida's waterways.
Just another day in Florida...
Take a dump here... Take a dump there... Here a dump... There a dump... Everywhere a dump - dump...E, I, E, I, Oh FLORIDA. . http   www mysuncoast com 2019 01 08 around gallons wastewater enters wares creek bradenton following force main break",FALSE,"1083153327683239943",2019-01-10 00:07:31,"90986529","1083153327683239943","everyone","en",NA,"https://pbs.twimg.com/profile_images/1239487935621353472/oJwoxgSS_normal.jpg",NA,FALSE,"",FALSE,"towallac","Tom Wallace","2009-11-18T23:33:45.000Z",NA,NA,0,0,0,0,0,44,95,33190,3,NA,"And yet another 80,000 gallons of raw sewage is dumped into Florida's waterways.
Just another day in Florida...
Take a dump here... Take a dump there... Here a dump... There a dump... Everywhere a dump - dump...E, I, E, I, Oh FLORIDA. https://t.co/10x1hLD5Kv",FALSE
"13","Bradenton, Florida Today - Massive wad of baby wipes clogs #Bradenton #sewage pipe, causing spill
There's a smell in the air around Wares Creek in Bradenton, and it's not a good one. . http   www fox13news com news local news massive wad of baby wipes clogs bradenton sewage pipe causing water main break",FALSE,"1084209929941065728",2019-01-12 22:06:05,"30710984","1084209929941065728","everyone","en",NA,"https://pbs.twimg.com/profile_images/1575703602030575624/8JJOGC7W_normal.jpg","Mississippi River, LA",FALSE,"The Mighty Queeg has polished his balls and is ready for battle.",FALSE,"QueegRides","Queeg Rides Again","2009-04-12T20:05:42.000Z",NA,NA,0,0,0,0,0,1945,3098,58463,209,NA,"Bradenton, Florida Today - Massive wad of baby wipes clogs #Bradenton #sewage pipe, causing spill
There's a smell in the air around Wares Creek in Bradenton, and it's not a good one. https://t.co/dC7O2A7M5v",FALSE
"14","Back in 2015, more than 22,000 gallons of raw sewage dumped into the lake after a Manatee County storm pipe collapsed. . https   www mysuncoast com 2019 02 05 polluted lake holmes beach will see cleanup near future",FALSE,"1092818684337418240",2019-02-05 16:14:12,"9581122","1092818684337418240","everyone","en",NA,"https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","Sarasota, Florida",FALSE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1",TRUE,"mysuncoast","ABC7 Sarasota","2007-10-21T15:57:27.000Z","http://t.co/nQUeAxZ5Ke",NA,0,0,0,0,0,67072,855,89861,690,NA,"Back in 2015, more than 22,000 gallons of raw sewage dumped into the lake after a Manatee County storm pipe collapsed. https://t.co/FyZUxfQVQc",FALSE
"15","On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed.. ",FALSE,"1100094628311810048",2019-02-25 18:06:12,"21992035","1100094628311810048","everyone","en",NA,"https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg","⚓ Cumberland, RI ",FALSE,"Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social",TRUE,"ReadCarlos","Carlos R. Munoz 📰","2009-02-26T08:55:50.000Z","https://t.co/XWTXNo6tNp",NA,1,0,1,0,0,3376,1859,40396,96,NA,"On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed.",FALSE
"16","Suncoast:  180,000 reclaimed water discharge will eventually end up in Palma Sola Bay.

 . https   new thescoopradioshow com suncoast 180000 reclaimed water discharge will eventually end up in palma sola bay",FALSE,"1163845011944943618",2019-08-20 16:07:28,"747552338","1163845011944943618","everyone","en",NA,"https://pbs.twimg.com/profile_images/1199787023508365318/sFxlsK-T_normal.jpg","Sarasota, Florida",FALSE,"Covering local Suncoast news and some national news. Alumna @UofMaryland, Vet @DepNavy. Bringing back Truth In Media!",FALSE,"TheSuncoastNews","Francesco Abbruzzino - The Scoop","2012-08-09T16:54:44.000Z","https://t.co/ZhRKxESlva",NA,0,0,0,0,0,1106,322,152267,54,NA,"Suncoast:  180,000 reclaimed water discharge will eventually end up in Palma Sola Bay.

https://t.co/Fq9gMWmMY7 https://t.co/Fq9gMWmMY7",FALSE
"17","Estimated 180,000 gallons of reclaimed water spilled in Bradenton. Some could spill into bay . https   www bradenton com news local article234182712 html",FALSE,"1163884785464307712",2019-08-20 18:45:31,"394878948","1163884785464307712","everyone","en",NA,"https://pbs.twimg.com/profile_images/1131652772372320256/4lDDbGRR_normal.png","Bradenton, Florida",FALSE,"Visual Lead/Photojournalist at the Bradenton Herald, a McClatchy newspaper in Florida. CrossFit nut.",TRUE,"tompkinscondie","Tiffany Tompkins","2011-10-20T19:32:36.000Z","https://t.co/XG5wZPllJ4",NA,0,0,0,0,0,2346,2806,9736,60,NA,"Estimated 180,000 gallons of reclaimed water spilled in Bradenton. Some could spill into bay https://t.co/9HHYhU8xQd",FALSE
"18","Estimated 180,000 gallons of reclaimed water spilled in Bradenton. Some could spill into bay . https   www bradenton com news local article234182712 html",FALSE,"1163939430899552257",2019-08-20 22:22:39,"403685458","1163939430899552257","everyone","en",NA,"https://pbs.twimg.com/profile_images/1407095746726408200/SzwjkH3G_normal.jpg",NA,FALSE,"Ars longa, vita brevis, fatuus esse. Activist for all living things. Amateur historian and genealogist. She/her.",FALSE,"catslib","diana cowans","2011-11-02T21:13:58.000Z",NA,NA,0,0,0,0,0,522,1235,25078,34,NA,"Estimated 180,000 gallons of reclaimed water spilled in Bradenton. Some could spill into bay https://t.co/CpMComFbOn",FALSE
"19","Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says . https   www bradenton com news local article243237076 html",FALSE,"1268244515636338691",2020-06-03 18:13:50,"19344401","1268244515636338691","everyone","en",NA,"https://pbs.twimg.com/profile_images/1422199020395577348/BNoyXuoP_normal.jpg","Bradenton, Florida",FALSE,"The leading source for local news, sports and information in Bradenton, Florida, Lakewood Ranch, Palmetto, Ellenton and all of Manatee County.",TRUE,"bradentonherald","Bradenton Herald","2009-01-22T16:00:14.000Z","https://t.co/KwY6u39gya",NA,3,0,1,0,0,44597,1506,140325,545,NA,"Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b",FALSE
"20","RT @bradentonherald: Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says . https   www bradenton com news local article243237076 html",FALSE,"1268248147769405441",2020-06-03 18:28:15,"14799343","1268248147769405441","everyone","en",NA,"https://pbs.twimg.com/profile_images/1297621644060614660/tF7LAL8c_normal.jpg",NA,FALSE,"I basically use this account just to roast people",FALSE,"nicolexann","Nicole Ann","2008-05-16T14:30:29.000Z","https://t.co/JOOoYBgVrA","1493951757013110799",3,0,0,0,0,250,503,3467,17,NA,"RT @bradentonherald: Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b",FALSE
"21","RT @bradentonherald: Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says . https   www bradenton com news local article243237076 html",FALSE,"1268256900862349313",2020-06-03 19:03:02,"991392138331066370","1268256900862349313","everyone","en",NA,"https://pbs.twimg.com/profile_images/1402464095601889287/gKGT_iTf_normal.jpg",NA,FALSE,"#BubbaArmy",FALSE,"jakedwelderx3","Jake D Welder","2018-05-01T19:01:19.000Z",NA,NA,3,0,0,0,0,392,786,11325,2,NA,"RT @bradentonherald: Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/UpCoHvKO5b",FALSE
"22","Most of a million-gallon sewage spill in #Bradenton leaked into #Sarasota Bay, state says  #Florida, get it together, so #disgusting  . https   www bradenton com news local article243237076 html",FALSE,"1268686243673620483",2020-06-04 23:29:06,"62177497","1268686243673620483","everyone","en",NA,"https://pbs.twimg.com/profile_images/1248413415376216067/gR_TtVTb_normal.jpg","illinois/usa",FALSE,"Flower Obsessed",FALSE,"flwrlvrr_c","flwrphile","2009-08-02T02:38:20.000Z",NA,NA,0,0,0,0,0,94,352,20866,24,NA,"Most of a million-gallon sewage spill in #Bradenton leaked into #Sarasota Bay, state says  #Florida, get it together, so #disgusting  https://t.co/quEgkyO2b0",FALSE
"23","Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says . https   www bradenton com news local article243237076 html",FALSE,"1269001951326298113",2020-06-05 20:23:36,"502239069","1269001951326298113","everyone","en",NA,"https://pbs.twimg.com/profile_images/1496993621135880221/-K69W73w_normal.jpg","I block trolls and ad hominem attacks",FALSE,"Poet #Bidenwon BlackLivesMatter no lists",FALSE,"ZZZZaa_AH","Ms_Beaucoup #SaveGentlemanJack #Wear a Mask ☮⚧️🏳️","2012-02-24T23:22:52.000Z",NA,"1425944394759245825",0,0,0,0,0,692,4963,59131,8,NA,"Most of a million-gallon sewage spill in Bradenton leaked into Sarasota Bay, state says https://t.co/j0htMNUR3f",FALSE
"24","More than 1.2 million gallons of #sewage spilled from a Manatee County force mainline and more than 800,000 gallons of it made its way into #Sarasota Bay, according to the Florida Department of Environmental Protection . http   ow ly DUgF30qMDCw",FALSE,"1269237791910748160",2020-06-06 12:00:45,"1088196428961406976","1269237791910748160","everyone","en",NA,"https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",NA,FALSE,"Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",FALSE,"awsproject","American Water Security Project","2019-01-23T22:07:01.000Z","https://t.co/AR8sz1dyFZ",NA,0,0,2,1,0,92,95,1368,1,NA,"More than 1.2 million gallons of #sewage spilled from a Manatee County force mainline and more than 800,000 gallons of it made its way into #Sarasota Bay, according to the Florida Department of Environmental Protection https://t.co/AjmLM5MPMu",FALSE
"25","Massive sewage spill in Bradenton leaks into Sarasota Bay, state officials say
@calusawater⁩  . https   www bradenton com news local article243237076 html",FALSE,"1269256862974840832",2020-06-06 13:16:32,"1260330002","1269256862974840832","everyone","en",NA,"https://pbs.twimg.com/profile_images/1497944489935220741/ievhWI0W_normal.jpg","Gulf Coast",FALSE,"🌏 things can change",FALSE,"SarasotaMermaid","SarasotaMermaid","2013-03-11T20:18:02.000Z",NA,"1366363818985730057",0,0,0,0,0,2289,4484,122583,57,NA,"Massive sewage spill in Bradenton leaks into Sarasota Bay, state officials say
@calusawater⁩  https://t.co/pVQyClnUqv",FALSE
"26","More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",FALSE,"1270443308267925505",2020-06-09 19:51:03,"17544442","1270443308267925505","everyone","en",NA,"https://pbs.twimg.com/profile_images/882569215559028736/RMkZ8wkh_normal.jpg","Tampa, FL",FALSE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.",TRUE,"wusf","WUSF","2008-11-21T20:07:08.000Z","https://t.co/KBo4cZ3VYG",NA,3,0,1,0,0,14653,2305,37951,484,NA,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"27","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",FALSE,"1270444127105187840",2020-06-09 19:54:18,"730963068","1270444127105187840","everyone","en",NA,"https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg","Palm Harbor, FL",FALSE,"Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.",TRUE,"wusfschreiner","Mark Schreiner","2012-08-01T16:09:25.000Z",NA,NA,3,0,0,0,0,1587,2871,20539,57,NA,"RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"28","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",FALSE,"1270475443649556480",2020-06-09 21:58:44,"981045752","1270475443649556480","everyone","en",NA,"https://pbs.twimg.com/profile_images/808689431448350721/T9t_vHr__normal.jpg","New York, USA",FALSE,"Health reporter for WUSF Public Media, Tampa Bay’s NPR station. Still a New Yorker. Live for live music! She/her",FALSE,"Steph_Colombini","Stephanie Colombini","2012-11-30T19:09:50.000Z",NA,NA,3,0,0,0,0,671,810,4222,19,NA,"RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"29","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",FALSE,"1270490063923818502",2020-06-09 22:56:50,"853887504","1270490063923818502","everyone","en",NA,"https://pbs.twimg.com/profile_images/1346968771748114434/SuJXG2gN_normal.jpg","Tampa, FL",FALSE,"All Things Considered host and sustainability reporter for @WUSF, @NPR for the Tampa Bay area. (she/her) Retweets are not endorsements.",TRUE,"JMMeszaros","Jessica Meszaros","2012-09-30T01:22:48.000Z","https://t.co/8jklgDElo5","1523438730370973697",3,0,0,0,0,1004,1412,2812,54,NA,"RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"30","Massive sewage spill in Bradenton leaks into Sarasota Bay, state officials say | The final volume of sewer water that spilled was 1.2 million gallons, with a total of 810,000 gallons flowing into the retention pond, and ultimately to Sarasota Bay....

. https   rebrandly com 404",FALSE,"1270510742182211587",2020-06-10 00:19:00,"1046953802245578753","1270510742182211587","everyone","en",NA,"https://pbs.twimg.com/profile_images/1046954462252650496/fAI8sUWg_normal.jpg","Boca Grande, FL",FALSE,"We are a nonpartisan group of FL citizens demanding that our politicians take action to help Florida heal from the red tide and green algae poisoning our state.",FALSE,"HelpFloridaHeal","Help Florida Heal","2018-10-02T02:43:32.000Z","https://t.co/nrcNO8vykn","1304150592277929984",0,0,2,1,0,147,347,1461,2,NA,"Massive sewage spill in Bradenton leaks into Sarasota Bay, state officials say | The final volume of sewer water that spilled was 1.2 million gallons, with a total of 810,000 gallons flowing into the retention pond, and ultimately to Sarasota Bay....

https://t.co/vUcewGeR7h",FALSE
"31","Fixing Longboat Key sewer leak may take ‘several days’ as sewage spills into Sarasota Bay . https   www bradenton com news local article243898917 html",FALSE,"1278023137825783808",2020-06-30 17:50:35,"19344401","1278023137825783808","everyone","en",NA,"https://pbs.twimg.com/profile_images/1422199020395577348/BNoyXuoP_normal.jpg","Bradenton, Florida",FALSE,"The leading source for local news, sports and information in Bradenton, Florida, Lakewood Ranch, Palmetto, Ellenton and all of Manatee County.",TRUE,"bradentonherald","Bradenton Herald","2009-01-22T16:00:14.000Z","https://t.co/KwY6u39gya",NA,0,0,2,0,0,44597,1506,140325,545,NA,"Fixing Longboat Key sewer leak may take ‘several days’ as sewage spills into Sarasota Bay https://t.co/ribDWysTSf",FALSE
"32","@FLPhoenixNews Daily somewhere in Florida- . https   www mysuncoast com 2020 06 30 major sewer line break spills millions gallons near sarasota bay manatee county",FALSE,"1278165866744594432",2020-07-01 03:17:44,"1229741556715921408","1278071916289548290","everyone","en","1009892540114403328","https://pbs.twimg.com/profile_images/1229742589328445441/iRskwFmC_normal.jpg",NA,FALSE,"",FALSE,"LEERON2019","Lee County Rights of Nature","2020-02-18T12:17:23.000Z",NA,NA,0,0,0,0,0,104,249,990,6,NA,"@FLPhoenixNews Daily somewhere in Florida- https://t.co/AgTPVDYRtS",FALSE
"33","@FLGOPMajority @debbie_mayfield @bobbypaynefl @GovRonDeSantis Not so much- . https   www mysuncoast com 2020 06 30 major sewer line break spills millions gallons near sarasota bay manatee county",FALSE,"1278166140552974341",2020-07-01 03:18:49,"1229741556715921408","1278065253159514113","everyone","en","56764250","https://pbs.twimg.com/profile_images/1229742589328445441/iRskwFmC_normal.jpg",NA,FALSE,"",FALSE,"LEERON2019","Lee County Rights of Nature","2020-02-18T12:17:23.000Z",NA,NA,0,0,0,0,0,104,249,990,6,NA,"@FLGOPMajority @debbie_mayfield @bobbypaynefl @GovRonDeSantis Not so much- https://t.co/AgTPVDYRtS",FALSE
"34",". http   a msn com 04 en us BB16biV5",FALSE,"1278251033882497027",2020-07-01 08:56:09,"42043526","1278251033882497027","everyone","zxx",NA,"https://pbs.twimg.com/profile_images/1547052912240742401/53UMdoAR_normal.jpg","Florida, USA",FALSE,"Nonprofit fundraiser, college instructor, arts, marketing, communications. Lifelong Democrat. Astounded by man's inhumanity to man.",FALSE,"dctblackwell","DCTBlackwell","2009-05-23T15:27:27.000Z",NA,NA,0,1,0,0,0,895,1108,25443,4,NA,"https://t.co/EU4X8f4xsa",FALSE
