"","text","conversation_id","lang","possibly_sensitive","created_at.x","author_id","reply_settings","id","profile_image_url","url","name","username","location","created_at.y","verified","protected","description","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","public_metrics.y_media_count","text_with_display_links","in_reply_to_user_id","reply.to.thread.no.term","geo_place_id"
"11","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863618903261266078","en",FALSE,2024-12-02 16:19:05,"1651977795180822529","everyone","1863618903261266078","https://pbs.twimg.com/profile_images/1652000848233263109/2ViG0vxG_normal.jpg",NA,"Suzanne@cookinmaama","SuzanneBos43679",NA,"2023-04-28T15:57:54.000Z",FALSE,FALSE,"🐬🏳️‍🌈🏳️‍⚧️
Florida native, Iifelong Miami Dolphins fan.  Mom, Grandma, BLM, Pro-Choice. 🔩 DeFascist and Trump.","1792611447194968218",8,0,0,0,0,0,1762,1537,171308,8,115483,1471,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"12","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863610530893570135","en",FALSE,2024-12-02 15:45:49,"741032004460892160","everyone","1863610530893570135","https://pbs.twimg.com/profile_images/1086140139913596928/rBVCXCBg_normal.jpg",NA,"BARN","overandout003"," FLORIDA","2016-06-09T22:19:32.000Z",FALSE,FALSE,"ADULT CONTENT 21+","1437973857584001026",8,0,0,0,0,0,3459,1853,220352,20,392506,40919,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"13","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863601847023321322","en",FALSE,2024-12-02 15:11:19,"2815093011","everyone","1863601847023321322","https://pbs.twimg.com/profile_images/1410583600727212032/BxDzulot_normal.jpg","https://t.co/W1TsiLeUKt","Florida Moms","CleanAirMoms_FL","Florida","2014-10-08T11:54:12.000Z",FALSE,FALSE,"We're a community of moms and dads who are uniting for clean air and our kids’ health in #Florida.","1859334495960256988",8,0,0,0,0,0,1145,1412,8607,44,9179,805,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"14","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863598724183625934","en",FALSE,2024-12-02 14:58:54,"2507601764","everyone","1863598724183625934","https://pbs.twimg.com/profile_images/1816860590708584448/7jL_n6VN_normal.jpg","https://t.co/4LXAlnxJEs","NOAA Coastal Ocean Science","noaacoastalsci","United States of America","2014-05-19T14:43:58.000Z",FALSE,FALSE,"@NOAA's National Centers for Coastal Ocean Science is a fed govt office. Verification: https://t.co/oYrBZk5e0j","1802716432146350427",8,0,0,0,0,0,6493,222,2517,159,1287,1674,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"15","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863596314287579259","en",FALSE,2024-12-02 14:49:19,"831234840628445186","everyone","1863596314287579259","https://pbs.twimg.com/profile_images/831630014978289665/n2ngk-Ow_normal.jpg","https://t.co/V42YPIHdiK","Praedictix Weather","Praedictix","Minneapolis, MN","2017-02-13T20:13:24.000Z",FALSE,FALSE,"Praedictix relies on the human factor. Connect with our expert meteorologists and learn how we can personalize your weather narrative.","1653505481766326296",8,0,0,0,0,0,1514,1482,17080,26,5368,6180,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"16","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863593011482968134","en",FALSE,2024-12-02 14:36:12,"239613246","everyone","1863593011482968134","https://pbs.twimg.com/profile_images/1455202921046499339/6GSPY0lD_normal.jpg",NA,"chaser","chaser84",NA,"2011-01-18T01:18:21.000Z",FALSE,FALSE,"",NA,8,0,0,0,0,0,917,5135,53253,4,132166,6929,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"17","Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico","1863592695341695254","en",FALSE,2024-12-02 14:34:57,"590195750","everyone","1863592695341695254","https://pbs.twimg.com/profile_images/875684318441385984/xXJdcbmq_normal.jpg","https://t.co/X31SJ6MGAH","NWS Tampa Bay","NWSTampaBay","Tampa Bay, Florida","2012-05-25T18:10:38.000Z",TRUE,FALSE,"Official Twitter account for the National Weather Service Tampa Bay Area, FL. Details: http://t.co/KKTK7cZlhK",NA,8,0,14,1,0,2831,76830,711,55558,1765,5835,15756,"Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"18","The Florida Fish and Wildlife Conservation Commission (FWC) has detected low levels of red tide (K. brevis) in Pinellas County over the past week. Sample processing is ongoing. Check Red Tide Status:  or 
(1/2) . https   myfwc maps arcgis com apps View index html. https   pinellas gov red tide. https   x com TresIslandFL status 1863591457426190557 photo 1","1863591457426190557","en",FALSE,2024-12-02 14:30:01,"95925121","everyone","1863591457426190557","https://pbs.twimg.com/profile_images/1673324897206927367/8Llo51gE_normal.jpg","https://t.co/3capR2Wztt","Treasure Island, FL","TresIslandFL","Treasure Island, FL","2009-12-10T15:40:22.000Z",TRUE,FALSE,"Treasure Island, located along the Gulf of Mexico, is home to white sandy beaches, pristine waters, hotels, restaurants and family-friendly attractions.",NA,0,1,6,0,0,490,5399,156,4742,48,519,3048,"The Florida Fish and Wildlife Conservation Commission (FWC) has detected low levels of red tide (K. brevis) in Pinellas County over the past week. Sample processing is ongoing. Check Red Tide Status: https://t.co/EmSRanWiEl or https://t.co/71ccwqpUio
(1/2) https://t.co/FWcyYnmIEK",NA,NA,NA
"19","Red tide warning for anyone heading to beaches near Tampa Bay. Heavy concentrations of the toxin were found at four beaches in Sarasota County and at Anna Maria Island in Manatee County and Fort De Soto in Pinellas County. #Poison Help 1-800-222-1222.
. https   health wusf usf edu health news florida 2024 11 17 red tide is on the march along beaches in the tampa bay area","1858888237491908671","en",FALSE,2024-11-19 15:01:06,"236390420","everyone","1858888237491908671","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FL Poison Control","FloridaPoison","Florida, USA","2011-01-10T13:44:51.000Z",FALSE,FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",NA,0,0,0,0,0,39,1205,428,10397,21,2595,NA,"Red tide warning for anyone heading to beaches near Tampa Bay. Heavy concentrations of the toxin were found at four beaches in Sarasota County and at Anna Maria Island in Manatee County and Fort De Soto in Pinellas County. #Poison Help 1-800-222-1222.
https://t.co/PMxF9qFevD",NA,FALSE,NA
"20","🌊The red tide organism Karenia brevis was detected in 74 samples collected from SW #Florida. Bloom concentrations were observed: 1 off Pinellas, 1 in Hillsborough and Manatee, 5 in Sarasota, 2 in and offshore of Charlotte, and 1 in Lee Counties. #Poison Help 1-800-222-1222.. ","1858616419304567020","en",FALSE,2024-11-18 21:01:00,"236390420","everyone","1858616419304567020","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FL Poison Control","FloridaPoison","Florida, USA","2011-01-10T13:44:51.000Z",FALSE,FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",NA,0,0,0,0,0,22,1205,428,10397,21,2595,NA,"🌊The red tide organism Karenia brevis was detected in 74 samples collected from SW #Florida. Bloom concentrations were observed: 1 off Pinellas, 1 in Hillsborough and Manatee, 5 in Sarasota, 2 in and offshore of Charlotte, and 1 in Lee Counties. #Poison Help 1-800-222-1222.",NA,FALSE,NA
"21","RT @wusf: Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
. https   www wusf org environment 2024 11 15 red tide on march along beaches pinellas manatee sarasota","1858566872083365945","en",FALSE,2024-11-18 17:44:07,"730963068","everyone","1858566872083365945","https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg",NA,"Mark Schreiner","wusfschreiner","Palm Harbor, FL","2012-08-01T16:09:25.000Z",FALSE,FALSE,"Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.",NA,3,0,0,0,0,0,1767,3039,25628,57,170262,NA,"RT @wusf: Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
https://t.co/vDAZ18YSHQ",NA,FALSE,NA
"22","Heavier concentrations of red tide were found this week at several beaches in Pinellas, Manatee and Sarasota counties. Respiratory irritation was also reported. . https   health wusf usf edu health news florida 2024 11 17 red tide is on the march along beaches in the tampa bay area","1858525579814883457","en",FALSE,2024-11-18 15:00:02,"20798645","everyone","1858525579814883457","https://pbs.twimg.com/profile_images/2626960293/xmwpbvpgbv34f2krgmvb_normal.jpeg","https://t.co/EXlbTcb8Uq","Health News Florida","HealthNewsFL","Tampa, FL","2009-02-13T19:36:57.000Z",FALSE,FALSE,"Since 2006, we've provided in-depth health journalism for Floridians. We're a part of WUSF Public Media, with reporters in Tampa, Miami and Orlando.",NA,0,0,0,0,0,20,6591,4031,30134,268,68,NA,"Heavier concentrations of red tide were found this week at several beaches in Pinellas, Manatee and Sarasota counties. Respiratory irritation was also reported. https://t.co/GnjgcgAKQQ",NA,FALSE,NA
"23","Red tide alert issued for Sarasota, Pinellas area beaches . https   newsfinale com local news red tide alert issued for sarasota pinellas area beaches","1858523112003752429","en",FALSE,2024-11-18 14:50:14,"1686542285641551872","everyone","1858523112003752429","https://pbs.twimg.com/profile_images/1686542460900532224/JWKuQOLG_normal.jpg",NA,"Newsfinale Journal","NewsfinalePub",NA,"2023-08-02T01:00:00.000Z",FALSE,FALSE,"",NA,0,0,0,0,0,9,42,79,18047,0,17,NA,"Red tide alert issued for Sarasota, Pinellas area beaches https://t.co/nONKQjzHwi",NA,FALSE,NA
"24","🌊The red tide organism Karenia brevis was detected in 74 samples collected from SW #Florida. Bloom concentrations were observed: 1 off Pinellas, 1 in Hillsborough and Manatee, 5 in Sarasota, 2 in and offshore of Charlotte, and 1 in Lee Counties. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1858511226453594535 video 1","1858511226453594535","en",FALSE,2024-11-18 14:03:00,"236390420","everyone","1858511226453594535","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FL Poison Control","FloridaPoison","Florida, USA","2011-01-10T13:44:51.000Z",FALSE,FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",NA,0,0,0,0,0,54,1205,428,10397,21,2595,NA,"🌊The red tide organism Karenia brevis was detected in 74 samples collected from SW #Florida. Bloom concentrations were observed: 1 off Pinellas, 1 in Hillsborough and Manatee, 5 in Sarasota, 2 in and offshore of Charlotte, and 1 in Lee Counties. #Poison Help 1-800-222-1222. https://t.co/KiXqzbTBxy",NA,FALSE,NA
"25","RT @wusf: Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
. https   www wusf org environment 2024 11 15 red tide on march along beaches pinellas manatee sarasota","1858497461175865758","en",FALSE,2024-11-18 13:08:18,"377666632","everyone","1858497461175865758","https://pbs.twimg.com/profile_images/1490711932650889217/kLsdYtt5_normal.jpg",NA,"Craig Kopp","radiocraigkopp","Land O Lakes, Florida","2011-09-21T22:53:34.000Z",FALSE,FALSE,"Radio man, Podcast man, Writer man",NA,3,0,0,0,0,0,1094,1529,43305,52,40020,NA,"RT @wusf: Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
https://t.co/vDAZ18YSHQ",NA,FALSE,NA
"26","RT @wusf: Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
. https   www wusf org environment 2024 11 15 red tide on march along beaches pinellas manatee sarasota","1858494131447689277","en",FALSE,2024-11-18 12:55:04,"785425199432863744","everyone","1858494131447689277","https://pbs.twimg.com/profile_images/1046717212273315840/zxps2pAr_normal.jpg",NA,"SSton","SharinStone","Florida","2016-10-10T10:22:14.000Z",FALSE,FALSE,"Analyst, mother, RN, voter.",NA,3,0,0,0,0,0,4573,4926,244484,32,1008293,NA,"RT @wusf: Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
https://t.co/vDAZ18YSHQ",NA,FALSE,NA
"27","Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
. https   www wusf org environment 2024 11 15 red tide on march along beaches pinellas manatee sarasota","1858485504167297525","en",FALSE,2024-11-18 12:20:47,"17544442","everyone","1858485504167297525","https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg","https://t.co/KBo4cZ4tOe","WUSF","wusf","Tampa, FL","2008-11-21T20:07:08.000Z",FALSE,FALSE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","1787836246024437952",3,0,5,0,0,169,15016,2314,41480,462,2736,NA,"Heavier concentrations were found at several beaches in Pinellas, Manatee and Sarasota counties.
https://t.co/vDAZ18YSHQ",NA,FALSE,NA
"28","RT @weatherbryan: (RED TIDE - NOV 16) Effects of red tide will worsen at some Tampa Bay beaches on Wednesday.

➡️ An area of red tide has existed mainly offshore of Pinellas down to Sanibel since Milton.  Fortunately, easterly winds have kept the effects offshore.

➡️ On Wednesday, winds will turn…  . https   x com i web status 1857943075802517772. https   x com weatherbryan status 1857943075802517772 photo 1","1858228004461166611","en",FALSE,2024-11-17 19:17:35,"714685684037062656","everyone","1858228004461166611","https://pbs.twimg.com/profile_images/777689054565527553/G8TMlONJ_normal.jpg",NA,"Claire Phillips","DocClaireP",NA,"2016-03-29T05:28:40.000Z",FALSE,FALSE,"I am a 100% scientist. Discovery and learning is part of life - 3 science degrees Marine Biologist - Lifetime Saint All views my own",NA,9,0,0,0,0,0,900,593,57424,31,117204,NA,"RT @weatherbryan: (RED TIDE - NOV 16) Effects of red tide will worsen at some Tampa Bay beaches on Wednesday.

➡️ An area of red tide has existed mainly offshore of Pinellas down to Sanibel since Milton.  Fortunately, easterly winds have kept the effects offshore.

➡️ On Wednesday, winds will turn… https://t.co/7isenfLtUb https://t.co/H2d6OEJW9K",NA,FALSE,NA
