"","text","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","url","profile_image_url","verified","username","created_at.y","name","description","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"11","@MsResJudicata I remember snorkeling off of the coast of Sicily in the 80s &amp; almost running head on into a floating log. For me, the Med was never the same after that as I stopped swimming. At 400K gallons, it’s only about 2,000 gallons a day which is a far less ominous number than “400K.”",FALSE,2019-08-15 14:49:47,"everyone","1161960425224884224","278903218","en","1162013521292550144",FALSE,"Amerika","http://t.co/bJBnklJqZ2","https://pbs.twimg.com/profile_images/1308257970/Imbecile_Nation_normal.jpg",FALSE,"ImbecileNation","2011-04-08T05:56:03.000Z","Imbecile Nation","I'm just sick of it all.  Please do not laugh.",0,0,1,0,0,972,4895,16520,7,"947904812393418752","1324180408041381890",NA,NA,TRUE
"12","Pasco Co. Public Works, the sheriff's office, and dive teams set out to clear the blockage causing water from Lake Worrell to spill onto residents' yards before Dorian makes landfall and brings a lot more rainfall into the area.
  by @AdriaIrahetaTV. https   www baynews9 com fl tampa news 2019 08 29 dorian dive teams clear lake worrell stormwater drain as dorian nears",FALSE,2019-08-29 23:06:44,"everyone","1167212013132668928","17308428","en","1167212013132668928",FALSE,"Tampa Bay area","http://t.co/j3OZJEwDmE","https://pbs.twimg.com/profile_images/912176447036502017/BBeoQTuF_normal.jpg",TRUE,"BN9","2008-11-11T12:03:53.000Z","Spectrum Bay News 9","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.",0,0,2,0,0,384372,446,145386,1755,NA,NA,NA,"Pasco Co. Public Works, the sheriff's office, and dive teams set out to clear the blockage causing water from Lake Worrell to spill onto residents' yards before Dorian makes landfall and brings a lot more rainfall into the area.
 https://t.co/SSBSTOT40g by @AdriaIrahetaTV",FALSE
"13","A gem of Port Richey, the Cotee River, is being dirtied by what neighbors call a disgrace — human waste spilling into the street and reaching the river. . https   www abcactionnews com news local news i team investigates port richey neighbors fed up with ongoing sewage spills",FALSE,2021-10-18 14:00:08,"everyone","1450099381802315783","15138087","en","1450099381802315783",FALSE,"Tampa","https://t.co/hjOLC3xFry","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg",TRUE,"abcactionnews","2008-06-16T20:08:51.000Z","ABC Action News","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI",0,0,0,0,0,173598,649,187000,1591,NA,NA,NA,"A gem of Port Richey, the Cotee River, is being dirtied by what neighbors call a disgrace — human waste spilling into the street and reaching the river. https://t.co/ldJrFu7k8A",FALSE
"14","Bob Hubbard has been contacting city officials over the last 2 yrs to sound the alarm about sewage spilling onto the streets &amp; nearby Cotee River. We brought the concerns to Port Richey’s city manager to find out what’s being done now to address the issue: . https   www abcactionnews com news local news i team investigates port richey neighbors fed up with ongoing sewage spills",FALSE,2021-10-19 16:58:27,"everyone","1450506641783365634","186658918","en","1450506641783365634",FALSE,"Tampa, FL","https://t.co/HKiowNI2vt","https://pbs.twimg.com/profile_images/1054932761859911680/uoftwYAU_normal.jpg",FALSE,"KylieMcGivern","2010-09-04T01:34:53.000Z","Kylie McGivern","Emmy Award-Winning Investigative Reporter @abcactionnews Native Floridian. Mizzou Grad. Have a story idea? Would love to hear it! kylie.mcgivern@wfts.com",0,0,1,0,0,2846,3155,8095,77,NA,NA,NA,"Bob Hubbard has been contacting city officials over the last 2 yrs to sound the alarm about sewage spilling onto the streets &amp; nearby Cotee River. We brought the concerns to Port Richey’s city manager to find out what’s being done now to address the issue: https://t.co/1QBSIpofbx",FALSE
"15","A gem of Port Richey, the Cotee River, is being dirtied by what neighbors call a disgrace — human waste spilling into the street and reaching the river  #sewage #florida. https   www abcactionnews com news local news i team investigates port richey neighbors fed up with ongoing sewage spills",FALSE,2021-10-21 12:00:57,"everyone","1451156549787860992","1088196428961406976","en","1451156549787860992",FALSE,NA,"https://t.co/AR8sz1dyFZ","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",FALSE,"awsproject","2019-01-23T22:07:01.000Z","American Water Security Project","Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",0,0,0,0,0,92,95,1368,1,NA,NA,NA,"A gem of Port Richey, the Cotee River, is being dirtied by what neighbors call a disgrace — human waste spilling into the street and reaching the river https://t.co/BvsmDWMzJ9 #sewage #florida",FALSE
"16","Calls for change in Port Richey were heard at City Hall after neighbors, who felt ignored, contacted the I-Team, worried about sewage spilling into the streets, backing up into their bathtubs, and flowing into the nearby Cotee River. . https   www abcactionnews com news local news i team investigates port richey conducts smoke testing to find problem spots in sewer system following i team report",FALSE,2021-11-19 22:00:11,"everyone","1461816602157010947","15138087","en","1461816602157010947",FALSE,"Tampa","https://t.co/hjOLC3xFry","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg",TRUE,"abcactionnews","2008-06-16T20:08:51.000Z","ABC Action News","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI",1,0,0,0,0,173598,649,187000,1591,NA,NA,NA,"Calls for change in Port Richey were heard at City Hall after neighbors, who felt ignored, contacted the I-Team, worried about sewage spilling into the streets, backing up into their bathtubs, and flowing into the nearby Cotee River. https://t.co/iNyQZwcuvY",FALSE
"17","RT @abcactionnews: Calls for change in Port Richey were heard at City Hall after neighbors, who felt ignored, contacted the I-Team, worried about sewage spilling into the streets, backing up into their bathtubs, and flowing into the nearby Cotee River. . https   www abcactionnews com news local news i team investigates port richey conducts smoke testing to find problem spots in sewer system following i team report",FALSE,2021-11-19 22:00:31,"everyone","1461816684172484609","1279770043467866112","en","1461816684172484609",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1544875936755195906/4g5cP748_normal.jpg",FALSE,"prsc24xt","2020-07-05T13:33:43.000Z","TheSicilianDragn","",1,0,0,0,0,15,267,1006,1,NA,NA,NA,"RT @abcactionnews: Calls for change in Port Richey were heard at City Hall after neighbors, who felt ignored, contacted the I-Team, worried about sewage spilling into the streets, backing up into their bathtubs, and flowing into the nearby Cotee River. https://t.co/iNyQZwcuvY",FALSE
"18","An alert if you live or work near Gulf View Square Mall or the subdivisions of Sea Pines West and West Port in western Pasco County.
#PascoCounty is performing smoke testing to identify leaks in our sewer system from 08/29 – 08/31. To learn more, visit:  . https   ussiusa com door hanger. https   twitter com PascoCountyPIO status 1562530181960515585 photo 1",FALSE,2022-08-24 20:00:00,"everyone","1562530181960515585","330332873","en","1562530181960515585",FALSE,"New Port Richey, FL","https://t.co/GtpqLTEznd","https://pbs.twimg.com/profile_images/747460336366792704/LtjBsB9A_normal.jpg",FALSE,"PascoCountyPIO","2011-07-06T13:20:37.000Z","Pasco County PIO","Official Pasco County, FL Gov. page; not monitored 24/7. Customer Service: 727.847.2411. Emergencies: 911. Posting Disclaimer: https://t.co/GFrAjB5qp6…",1,0,1,0,0,3997,374,4824,84,NA,NA,NA,"An alert if you live or work near Gulf View Square Mall or the subdivisions of Sea Pines West and West Port in western Pasco County.
#PascoCounty is performing smoke testing to identify leaks in our sewer system from 08/29 – 08/31. To learn more, visit: https://t.co/USIIr7pvCd https://t.co/9lvQlCTMcY",FALSE
"19","RT @PascoCountyPIO: An alert if you live or work near Gulf View Square Mall or the subdivisions of Sea Pines West and West Port in western Pasco County.
#PascoCounty is performing smoke testing to identify leaks in our sewer system from 08/29 – 08/31. To learn more, visit:  . https   ussiusa com door hanger. https   twitter com PascoCountyPIO status 1562530181960515585 photo 1",FALSE,2022-08-24 20:01:18,"everyone","1562530509170692099","3912994635","en","1562530509170692099",FALSE,NA,"https://t.co/5R4Wt48dHd","https://pbs.twimg.com/profile_images/1588560871466352642/Pup_sqza_normal.jpg",FALSE,"PascoGovAffairs","2015-10-09T23:05:22.000Z","Pasco County IGA","The official Twitter page of the Pasco County, FL Intergovernmental Affairs Department.",1,0,0,0,0,1787,637,18688,33,NA,NA,NA,"RT @PascoCountyPIO: An alert if you live or work near Gulf View Square Mall or the subdivisions of Sea Pines West and West Port in western Pasco County.
#PascoCounty is performing smoke testing to identify leaks in our sewer system from 08/29 – 08/31. To learn more, visit: https://t.co/USIIr7pvCd https://t.co/9lvQlCTMcY",FALSE
"20","An alert if you live or work near Gulf View Square Mall or the subdivisions of Sea Pines West and West Port in western Pasco County.
#PascoCounty is performing smoke testing to identify leaks in our sewer system from 08/29 – 08/31. To learn more, visit:  . https   ussiusa com door hanger. https   twitter com PascoCountyPIO status 1563904236559208450 photo 1",FALSE,2022-08-28 15:00:00,"everyone","1563904236559208450","330332873","en","1563904236559208450",FALSE,"New Port Richey, FL","https://t.co/GtpqLTEznd","https://pbs.twimg.com/profile_images/747460336366792704/LtjBsB9A_normal.jpg",FALSE,"PascoCountyPIO","2011-07-06T13:20:37.000Z","Pasco County PIO","Official Pasco County, FL Gov. page; not monitored 24/7. Customer Service: 727.847.2411. Emergencies: 911. Posting Disclaimer: https://t.co/GFrAjB5qp6…",0,0,0,0,0,3997,374,4824,84,NA,NA,NA,"An alert if you live or work near Gulf View Square Mall or the subdivisions of Sea Pines West and West Port in western Pasco County.
#PascoCounty is performing smoke testing to identify leaks in our sewer system from 08/29 – 08/31. To learn more, visit: https://t.co/USIIr7H70N https://t.co/RsizZwfBVM",FALSE
